,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Vake,Didube,Saburtalo,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
70,70,20-05-2020 03:36:59,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0202,5334,483,14478,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
71,71,20-05-2020 03:36:59,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0253,6668,604,18098,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
72,72,20-05-2020 03:36:59,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.531,400050,36239,1085877,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
73,73,20-05-2020 03:38:14,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2225,58674,5315,159262,2200.0,,,,,,,True,,,[100g] SPAIN HASH
74,74,20-05-2020 03:38:14,Batumi,54915c4374,Батуми н-бооом 2 штуки,,нет,10,Батуми,2 гр,0.0037,962,87,2613,,,,,33.0,,,True,,,Batumi n-booom 2 shtuki
75,75,20-05-2020 03:38:14,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1579,51992,3772,112990,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
76,76,20-05-2020 03:38:14,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.25,82321,5972,178900,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
77,77,20-05-2020 03:38:14,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0092,2667,242,7239,100.0,,,,,,,True,,,kur'er v Batumi
78,78,20-05-2020 03:38:14,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.023,6668,604,18098,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
79,79,20-05-2020 03:38:14,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.023,6668,604,18098,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
80,80,20-05-2020 03:38:14,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.531,400050,36239,1085877,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
81,81,20-05-2020 03:38:14,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0506,13335,1208,36196,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
82,82,20-05-2020 03:39:26,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,1,нет,Кутаиси,1.5 гр,0.0208,5601,507,15202,210.0,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
83,83,20-05-2020 03:39:26,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0486,12935,1172,35110,485.0,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
84,84,20-05-2020 03:39:26,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,8,нет,Кутаиси,3 гр,0.0371,9868,894,26785,370.0,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
85,85,20-05-2020 03:39:26,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0202,5334,483,14478,200.0,,,,,,,,,True,Rabota na marki (kur'er)
