,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Gldani,Saburtalo,€,Дигоми,Tbilisis Zgva,Old Tbilisi (Старый город),Nadzaladevi,Авлобари,Батуми,Центр,Кутаиси,desc_en
57,57,14-03-2020 06:40:22,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,9,Тбилиси,5 гр,0.0231,10612,3899,339,145.0,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
58,58,14-03-2020 06:40:22,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0318,16028,5889,513,219.0,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
59,59,14-03-2020 06:40:22,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0483,21956,8067,702,300.0,,,,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
60,60,14-03-2020 06:40:22,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0239,10978,4034,351,150.0,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
61,61,14-03-2020 06:40:22,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,15,Тбилиси,5 гр,0.028999999999999998,14638,5378,468,200.0,,,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
62,62,14-03-2020 06:40:22,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3765,190000,87429,6072,,,,,,,,,,,,,,reagent 25i nbome. 5gr
63,63,14-03-2020 06:40:22,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.4351,219565,80670,7021,3000.0,,,,,,,True,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
64,64,14-03-2020 06:40:22,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.1384,62869,23099,2010,859.0,,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
65,65,14-03-2020 06:40:22,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.0298,13540,4975,433,185.0,,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
66,66,14-03-2020 06:40:22,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0788,35789,13149,1144,489.0,,,,,,,,,,,,,💘✨5g. MDMA ✨💘
