,time_stamp,region,sell_code,sell_name,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Saburtalo,Дигоми,Nadzaladevi,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
82,23-06-2020 05:47:08,Tbilisi,8B31,GEOWEEDSHOP,200gr Georgian indica dominant buds. WHOLESALE PRICE!,,нет,4,Тбилиси,200 гр,0.4316,295305,113943,10093,,True,4250,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
83,23-06-2020 05:47:08,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.463,319624,123326,10924,,True,4600,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
84,23-06-2020 05:47:08,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7548,521126,201075,17811,,True,7500,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
85,23-06-2020 05:47:08,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8555,590610,227885,20186,,True,8500,,,,,,,,,,10000sht marki 25i-nbome. predoplata
86,23-06-2020 05:47:08,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0183,13897,5362,475,,True,200,,,,,,,,,,KURYER..500RUB.+BONUS
87,23-06-2020 05:47:08,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0201,13897,5362,475,,True,200,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
88,23-06-2020 05:47:08,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0252,17371,6703,594,,True,250,,,,,,,,,,Rabota na marki (kur'er)
89,23-06-2020 05:47:08,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5234,1042253,402150,35622,,True,15000,,,,,,,,,,Vakansija optovogo kur'era na mef
90,23-06-2020 05:48:48,Batumi,EIH4,San4oPan4o,!! БАТУМИ!! !!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!! !! БАТУМИ !!,,10,нет,Батуми,0.25 гр,0.0132,9262,3588,317,119,,,,,,,,,,True,,!! BATUMI!! !!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!! !! BATUMI !!
91,23-06-2020 05:48:48,Batumi,XH0NP,XX-PABLO-XX,METADON - 0.25 - SALE,,1,10,Батуми,0.25 гр,0.0305,20845,8043,712,,,300,,,,,,,,True,,METADON - 0.25 - SALE
92,23-06-2020 05:48:48,Batumi,A3I9,Joookerrr,Геройн (сирец) 5 гр,,нет,2,Батуми,5 гр,0.1511,104225,40215,3562,,,1500,,,,,,,,True,,Gerojn (sirets) 5 gr
93,23-06-2020 05:48:48,Batumi,GGVQZ,KARAVANos,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,2,Батуми,10 гр,0.0423,29183,11260,997,,,420,,,,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
94,23-06-2020 05:48:48,Batumi,A3I9,Joookerrr,Сирец (геройн) очень сильный 10 гр,,нет,2,Батуми,10 гр,0.2216,152864,58982,5225,,,2200,,,,,,,,True,,Sirets (gerojn) ochen' sil'nyj 10 gr
95,23-06-2020 05:48:48,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1638,112990,51992,3864,,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
96,23-06-2020 05:48:48,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2593,178900,82321,6119,,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
97,23-06-2020 05:48:48,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0092,6948,2681,237,,,100,,,,,,,,True,,kur'er v Batumi
98,23-06-2020 05:48:48,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0229,17371,6703,594,,,250,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
99,23-06-2020 05:48:48,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0229,17371,6703,594,,,250,,,,,,,,True,,Ischu kur'era v Gruzii!
