,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Didube,Saburtalo,Vazisubani,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
50,20-05-2020 18:42:17,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0427,30382,11298,1015,420,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
51,20-05-2020 18:42:17,Tbilisi,18FB,Mr.Green Tbilis,10G Hybrid Marijuana Leafs,True,нет,38,Тбилиси,10 гр,0.0102,7234,2690,242,100,,,,,,,,,,,10G Hybrid Marijuana Leafs
52,20-05-2020 18:42:17,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0813,57870,21520,1933,800,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
53,20-05-2020 18:42:17,Tbilisi,6P9R,RickNMorty,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0295,20978,7801,701,290,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
54,20-05-2020 18:42:17,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2262,160952,59853,5375,2225,,,,,,,,,,,Amfetamin [White] [Import] 10G
55,20-05-2020 18:42:17,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.16,112775,41937,3766,1559,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
56,20-05-2020 18:42:17,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0379,26693,9926,891,369,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
57,20-05-2020 18:42:17,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0323,22787,8474,761,315,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
58,20-05-2020 18:42:17,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5133,361691,134500,12080,5000,,,,,,,,,,,METADON - 20 G.
59,20-05-2020 18:42:17,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0615,43331,16113,1447,599,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
60,20-05-2020 18:42:17,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1118,79572,29590,2657,1100,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
61,20-05-2020 18:42:17,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2439,173611,64560,5798,2400,,,,,,,,,,,100 gr marijuana buds
62,20-05-2020 18:42:17,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2033,144676,53800,4832,2000,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
63,20-05-2020 18:42:17,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2541,180845,67250,6040,2500,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
64,20-05-2020 18:42:17,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.5997,426795,158710,14254,5900,,,,,,,,,,,180 gr marihuana persoalno
65,20-05-2020 18:42:17,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4676,332755,123740,11113,4600,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
66,20-05-2020 18:42:17,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7623,542536,201750,18119,7500,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
67,20-05-2020 18:42:17,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.864,614874,228650,20535,8500,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
68,20-05-2020 18:42:17,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0185,14468,5380,483,200,,,,,,,,,,,KURYER..500RUB.+BONUS
69,20-05-2020 18:42:55,Tbilisi,8B31,GEOWEEDSHOP,"Работа курьером в Тбилиси, ЗП от 4500$ в месяц, залог от 400$",True,1,нет,Тбилиси,1 гр,0.0407,28935,10760,966,400,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 4500$ v mesjats, zalog ot 400$"
70,20-05-2020 18:42:55,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0203,14468,5380,483,200,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
71,20-05-2020 18:42:55,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0254,18085,6725,604,250,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
72,20-05-2020 18:42:55,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5385,1085072,403500,36239,15000,,,,,,,,,,,Vakansija optovogo kur'era na mef
73,20-05-2020 18:44:36,Batumi,EIH4,San4oPan4o,ГАШИШ твердый!!! Hash!!!! 0.5 g !!! SALE!!! !!! БАТУМИ !!! BTC SALE 5%!!!,,11,нет,Батуми,0.5 гр,0.0061,4340,1614,145,60,,,,,,,,True,,,GAShISh tverdyj!!! Hash!!!! 0.5 g !!! SALE!!! !!! BATUMI !!! BTC SALE 5%!!!
74,20-05-2020 18:44:36,Batumi,EIH4,San4oPan4o,ГАШИШ твердый!!! Hash!!!! 1 g !!! SALE!!! !!! БАТУМИ !!! BTC SALE 5%!!!,,4,нет,Батуми,1 гр,0.0106,7596,2825,254,105,,,,,,,,True,,,GAShISh tverdyj!!! Hash!!!! 1 g !!! SALE!!! !!! BATUMI !!! BTC SALE 5%!!!
75,20-05-2020 18:44:36,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2236,159144,59180,5315,2200,,,,,,,,True,,,[100g] SPAIN HASH
76,20-05-2020 18:44:36,Batumi,A3I9,Joookerrr,Батуми н-бооом 2 штуки,,нет,10,Батуми,2 гр,0.0037,2613,971,87,,,,,,33,,,True,,,Batumi n-booom 2 shtuki
77,20-05-2020 18:44:36,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1588,112990,51992,3772,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
78,20-05-2020 18:44:36,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2514,178900,82321,5972,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
79,20-05-2020 18:44:36,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0092,7234,2690,242,100,,,,,,,,True,,,kur'er v Batumi
80,20-05-2020 18:44:36,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0231,18085,6725,604,250,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
81,20-05-2020 18:44:36,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0231,18085,6725,604,250,,,,,,,,True,,,Ischu kur'era v Gruzii!
82,20-05-2020 18:44:36,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5385,1085072,403500,36239,15000,,,,,,,,True,,,Vakansija optovogo kur'era na mef
83,20-05-2020 18:44:36,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0508,36169,13450,1208,500,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
84,20-05-2020 18:45:41,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0488,35084,13047,1172,485,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
85,20-05-2020 18:45:41,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,8,нет,Кутаиси,3 гр,0.0372,26765,9953,894,370,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
86,20-05-2020 18:45:41,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0203,14468,5380,483,200,,,,,,,,,,True,Rabota na marki (kur'er)
