,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,€,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
70,19-02-2020 01:48:44,Tbilisi,5LZ,ExtraShop,5шт Ecstazy 280мг MDMA (Gray Duracell),True,4,нет,Тбилиси,5 гр,0.0143,9565,3677,330,150,,,,,,,,,,,5sht Ecstazy 280mg MDMA (Gray Duracell)
71,19-02-2020 01:48:44,Tbilisi,5HOGC,NewHybrid,Hybrid Weed VHQ (5г) BТС 10% СКИДКА,True,3,нет,Тбилиси,5 гр,0.0148,10841,4167,375,170,,,,,,,,,,,Hybrid Weed VHQ (5g) BTS 10% SKIDKA
72,19-02-2020 01:48:44,Tbilisi,LYHBG,Playboy,NEW !!! 5G OG KusH !!! NEW,True,3,нет,Тбилиси,5 гр,0.0154,10139,3897,350,159,,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
73,19-02-2020 01:48:44,Tbilisi,SM7B,SWEETWEED,гашиш евро 5г,True,1,нет,Тбилиси,5 гр,0.0193,13392,5147,463,210,,,,,,,,,,,gashish evro 5g
74,19-02-2020 01:48:44,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,True,5,нет,Тбилиси,10 гр,0.0256,17027,6544,588,267,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
75,19-02-2020 01:48:44,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0368,25508,9804,881,400,,,,,,,,,,,gashish evro 10g
76,19-02-2020 01:48:44,Tbilisi,F8K,BestAcid,"марки 25i-nbome 2,5mg (10шт)",True,10,нет,Тбилиси,10 гр,0.0083,6058,2328,209,95,,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
77,19-02-2020 01:48:44,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0716,49549,19044,1712,777,,,,,,,,,,,Gashish Evro 20gr
78,19-02-2020 01:48:44,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,3,5,Тбилиси,0.27 гр,0.022,14476,5564,500,227,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
79,19-02-2020 01:48:44,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,3,5,Тбилиси,0.35 гр,0.029,19067,7328,659,299,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
