,Unnamed: 0,time_stamp,region,sell_code,description,Nadzaladevi,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Saburtalo,Old Tbilisi (Старый город),€,Дигоми,Didube,Vake,Авлобари,Varketili,Батуми,Центр,Кутаиси,desc_en
67,67,15-07-2020 15:59:29,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Тбилиси,11 гр,0.0469,31527,12129,1070,,True,,,390.0,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
68,68,15-07-2020 15:59:29,Tbilisi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,2,Тбилиси,11 гр,0.048,32255,12409,1095,,True,,,399.0,,,,,,,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
69,69,15-07-2020 16:00:27,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Тбилиси,11 гр,0.0469,31527,12129,1070,,True,,,390.0,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
70,70,15-07-2020 16:00:27,Tbilisi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,2,Тбилиси,11 гр,0.048,32255,12409,1095,,True,,,399.0,,,,,,,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
71,71,15-07-2020 16:00:27,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",,нет,1,Тбилиси,15 гр,0.0617,46020,17745,1573,650.0,True,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
72,72,15-07-2020 16:00:27,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2506,169920,65520,5807,2400.0,True,,,,,,,,,,,,100 gr marijuana buds
73,73,15-07-2020 16:00:27,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.261,177000,68250,6049,2500.0,True,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
74,74,15-07-2020 16:00:27,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.616,417719,161070,14274,5900.0,True,,,,,,,,,,,,180 gr marihuana persoalno
75,75,15-07-2020 16:00:27,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8874,601798,232050,20565,8500.0,True,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
76,76,15-07-2020 16:00:27,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.019,14160,5460,484,200.0,True,,,,,,,,,,,,KURYER..500RUB.+BONUS
