,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Дигоми,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
61,61,17-02-2020 11:24:58,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,5 гр,0.0176,11104,4312,385,175.0,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
62,62,17-02-2020 11:24:58,Tbilisi,d04eeb6525,5шт Ecstazy 280мг MDMA (Gray Duracell),True,5,нет,Тбилиси,5 гр,0.0148,9518,3696,330,150.0,,,,,,,,,,5sht Ecstazy 280mg MDMA (Gray Duracell)
63,63,17-02-2020 11:24:58,Tbilisi,0fa6c5b020,Hybrid Weed VHQ (5г) BТС 10% СКИДКА,True,2,нет,Тбилиси,5 гр,0.0154,10787,4189,374,170.0,,,,,,,,,,Hybrid Weed VHQ (5g) BTS 10% SKIDKA
64,64,17-02-2020 11:24:58,Tbilisi,366326d4d6,NEW !!! 5G OG KusH !!! NEW,True,3,нет,Тбилиси,5 гр,0.016,10089,3918,350,159.0,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
65,65,17-02-2020 11:24:58,Tbilisi,c225d2f67d,гашиш евро 5г,True,2,нет,Тбилиси,5 гр,0.02,13325,5174,462,210.0,,,,,,,,,,gashish evro 5g
66,66,17-02-2020 11:24:58,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0382,25381,9856,879,400.0,,,,,,,,,,gashish evro 10g
67,67,17-02-2020 11:25:36,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",True,17,нет,Тбилиси,10 гр,0.009000000000000001,6345,2464,220,100.0,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
68,68,17-02-2020 11:25:36,Tbilisi,84c8f0bee0,шишки 11гр. (наркуш феминиз),True,2,нет,Тбилиси,11 гр,0.0099,6345,2464,220,100.0,,,,,,,,,,shishki 11gr. (narkush feminiz)
69,69,17-02-2020 11:25:36,Tbilisi,436325081c,weed leaves 13gr +,True,1,нет,Тбилиси,13 гр,0.0052,3680,1429,128,58.0,,,,,,,,,,weed leaves 13gr +
70,70,17-02-2020 11:25:36,Tbilisi,436325081c,georgian weed 15 gr salee !!!,True,1,нет,Тбилиси,15 гр,0.0151,10597,4115,367,167.0,,,,,,,,,,georgian weed 15 gr salee !!!
71,71,17-02-2020 11:25:36,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0741,49303,19145,1708,777.0,,,,,,,,,,Gashish Evro 20gr
72,72,17-02-2020 11:25:36,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,3,5,Тбилиси,0.27 гр,0.0228,14404,5593,499,227.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
73,73,17-02-2020 11:25:36,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,3,5,Тбилиси,0.35 гр,0.03,18973,7367,657,299.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
74,74,17-02-2020 11:25:36,Tbilisi,013e75d78f,"H i B R i D 0.5г. Три вадном ----> amnezia , tutanhamon, jackherer )",True,нет,2,Тбилиси,0.5 гр,0.0045,2855,1109,99,45.0,,,,,,,,,,"H i B R i D 0.5g. Tri vadnom ----> amnezia , tutanhamon, jackherer )"
75,75,17-02-2020 11:25:36,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.0603,38072,14784,1319,600.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
76,76,17-02-2020 11:25:36,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,10,Тбилиси,4 гр,0.0398,25381,9856,879,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
77,77,17-02-2020 11:25:36,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0239,15229,5914,528,240.0,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
78,78,17-02-2020 11:25:36,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0249,15863,6160,550,250.0,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
