,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,€,Vazisubani,Saburtalo,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
78,02-06-2020 18:36:46,Batumi,GGVQZ,KARAVANos,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,3,Батуми,10 гр,0.0407,28973,11298,1008,420,,,,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
79,02-06-2020 18:36:46,Batumi,XH0NP,XX-PABLO-XX,METADON - 20 G.,,нет,2,Батуми,20 гр,0.4999,344916,134500,12004,5000,,,,,,,,True,,METADON - 20 G.
80,02-06-2020 18:36:46,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1622,112990,51992,3897,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
81,02-06-2020 18:36:46,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2567,178900,82321,6171,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
82,02-06-2020 18:36:46,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.009,6898,2690,240,100,,,,,,,,True,,kur'er v Batumi
83,02-06-2020 18:36:46,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0225,17246,6725,600,250,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
84,02-06-2020 18:36:46,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0225,17246,6725,600,250,,,,,,,,True,,Ischu kur'era v Gruzii!
85,02-06-2020 18:36:46,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,3,Батуми,5 гр,0.0198,13797,5380,480,200,,,,,,,,True,,Kur'er Batumi na marihuanu
86,02-06-2020 18:36:46,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0275,19195,7513,668,,,250,,,,,,True,,Rabota na marki (kur'er)
87,02-06-2020 18:36:46,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.4985,1034747,403500,36012,15000,,,,,,,,True,,Vakansija optovogo kur'era na mef
88,02-06-2020 18:36:46,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0495,34492,13450,1200,500,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
89,02-06-2020 18:38:47,Kutaisi,EIH4,San4oPan4o,Cocaine 2g !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,2 гр,0.03,21316,8312,742,309,,,,,,,,,True,Cocaine 2g !!! BTC SALE 5%!!!!
90,02-06-2020 18:38:47,Kutaisi,EIH4,San4oPan4o,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!,,3,нет,Кутаиси,3 гр,0.0189,13452,5246,468,195,,,,,,,,,True,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!
91,02-06-2020 18:38:47,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0275,19195,7513,668,,,250,,,,,,,True,Rabota na marki (kur'er)
