,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,Vake,Didube,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Центр,Батуми,Кутаиси,desc_en
72,29-03-2020 04:55:15,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.1316,69959,25650,2318,900,True,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
73,29-03-2020 04:55:15,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,5,Тбилиси,10 гр,0.1024,54413,19950,1803,700,True,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
74,29-03-2020 04:55:15,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,6,Тбилиси,10 гр,0.0468,24874,9120,824,320,True,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
75,29-03-2020 04:55:15,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,5,Тбилиси,10 гр,0.117,62186,22800,2060,800,True,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
76,29-03-2020 04:55:15,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.3254,172955,63413,5730,2225,True,,,,,,,,,,,Amfetamin [White] [Import] 10G
77,29-03-2020 04:55:15,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,,нет,8,Тбилиси,10 гр,0.214,112634,41297,3732,1449,True,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
78,29-03-2020 04:55:15,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0545,28683,10517,950,369,True,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
79,29-03-2020 04:55:15,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,2,Тбилиси,10 гр,0.0442,23242,8522,770,299,True,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
80,29-03-2020 04:55:15,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0885,46562,17072,1543,599,True,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
81,29-03-2020 04:55:15,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1609,85506,31350,2833,1100,True,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
82,29-03-2020 04:55:15,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.351,186558,68400,6181,2400,True,,,,,,,,,,,100 gr marijuana buds
83,29-03-2020 04:55:15,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2925,155465,57000,5151,2000,True,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
