,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,€,Vazisubani,Saburtalo,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
70,70,02-06-2020 17:57:46,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 1100 $ в месец залог 200$ | Rick And Morty Need DG Sallary from 1100$ prepay 200$,True,нет,1,Тбилиси,1 гр,0.0197,13797,5380,480,200.0,,,,,,,,,,rik i morti ishit kuriera zp ot 1100 $ v mesets zalog 200$ | Rick And Morty Need DG Sallary from 1100$ prepay 200$
71,71,02-06-2020 17:57:46,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.4909,1034747,403500,36012,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
72,72,02-06-2020 17:59:28,Batumi,f25c0d6c5c,Gagarin fem. 60%sativa 40%indica 1g.,,2,нет,Батуми,1 гр,0.0049,3449,1345,120,50.0,,,,,,,True,,,Gagarin fem. 60%sativa 40%indica 1g.
73,73,02-06-2020 17:59:28,Batumi,54915c4374,Марки н-БоооооооМ 4 шт,,2,нет,Батуми,4 гр,0.0055,3863,1506,134,56.0,,,,,,,,True,,Marki n-BoooooooM 4 sht
74,74,02-06-2020 17:59:28,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2167,151763,59180,5282,2200.0,,,,,,,True,,,[100g] SPAIN HASH
75,75,02-06-2020 17:59:28,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 5г,,нет,2,Батуми,5 гр,0.0222,15866,6187,552,230.0,,,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 5g
76,76,02-06-2020 17:59:28,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,3,Батуми,10 гр,0.0405,28973,11298,1008,420.0,,,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
77,77,02-06-2020 17:59:28,Batumi,f8a875c191,METADON - 20 G.,,нет,2,Батуми,20 гр,0.4974,344916,134500,12004,5000.0,,,,,,,True,,,METADON - 20 G.
78,78,02-06-2020 17:59:28,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1613,112990,51992,3897,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
79,79,02-06-2020 17:59:28,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2554,178900,82321,6171,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
80,80,02-06-2020 17:59:28,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.009000000000000001,6898,2690,240,100.0,,,,,,,True,,,kur'er v Batumi
81,81,02-06-2020 17:59:28,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0224,17246,6725,600,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
82,82,02-06-2020 17:59:28,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0224,17246,6725,600,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
83,83,02-06-2020 17:59:28,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,3,Батуми,5 гр,0.0197,13797,5380,480,200.0,,,,,,,True,,,Kur'er Batumi na marihuanu
84,84,02-06-2020 17:59:28,Batumi,54915c4374,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0274,19195,7513,668,,,250.0,,,,,True,,,Rabota na marki (kur'er)
85,85,02-06-2020 17:59:28,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.4909,1034747,403500,36012,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
86,86,02-06-2020 17:59:28,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0492,34492,13450,1200,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
87,87,02-06-2020 18:01:12,Kutaisi,be97026d1d,Cocaine 2g !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,2 гр,0.0298,21316,8312,742,309.0,,,,,,,,,True,Cocaine 2g !!! BTC SALE 5%!!!!
88,88,02-06-2020 18:01:12,Kutaisi,be97026d1d,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!,,3,нет,Кутаиси,3 гр,0.0188,13452,5246,468,195.0,,,,,,,,,True,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!
89,89,02-06-2020 18:01:12,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0274,19195,7513,668,,,250.0,,,,,,,True,Rabota na marki (kur'er)
