,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Old Tbilisi (Старый город),$,Saburtalo,Авлобари,Дигоми,Gldani,Varketili,Didube,€,Кутаиси,desc_en
84,05-05-2020 23:12:05,Tbilisi,18FB,Mr.Green Tbilis,10G Hybrid Marijuana Leafs,True,нет,40,Тбилиси,10 гр,0.0108,2715,245,7273,,100,,,,,,,,,10G Hybrid Marijuana Leafs
85,05-05-2020 23:12:05,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.0861,21720,1964,58181,,800,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
86,05-05-2020 23:12:05,Tbilisi,6P9R,RickNMorty,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0312,7874,712,21091,,290,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
87,05-05-2020 23:12:05,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2394,60409,5461,161816,,2225,,,,,,,,,Amfetamin [White] [Import] 10G
88,05-05-2020 23:12:05,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1694,42327,3826,113380,,1559,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
89,05-05-2020 23:12:05,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0401,10018,906,26836,,369,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
90,05-05-2020 23:12:05,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5434,135750,12272,363632,,5000,,,,,,,,,METADON - 20 G.
91,05-05-2020 23:12:05,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0651,16263,1470,43563,,599,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
92,05-05-2020 23:12:05,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1184,29865,2700,79999,,1100,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
93,05-05-2020 23:12:05,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2582,65160,5891,174543,,2400,,,,,,,,,100 gr marijuana buds
94,05-05-2020 23:12:05,Tbilisi,PTO3,MeDuZa777,AKA-47 ONLY BUDS 100g TOP VHQ,True,нет,1,Тбилиси,100 гр,0.3228,81450,7363,218179,,3000,,,,,,,,,AKA-47 ONLY BUDS 100g TOP VHQ
95,05-05-2020 23:12:05,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2152,54300,4909,145453,,2000,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
96,05-05-2020 23:12:05,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.269,67875,6136,181816,,2500,,,,,,,,,Marihuana [Shishki] [Gali] 100G
97,05-05-2020 23:12:05,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6348,160185,14481,429085,,5900,,,,,,,,,180 gr marihuana persoalno
98,05-05-2020 23:12:05,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4949,124890,11290,334541,,4600,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
99,05-05-2020 23:12:05,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.807,203625,18408,545447,,7500,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
100,05-05-2020 23:12:05,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9146,230775,20862,618174,,8500,,,,,,,,,10000sht marki 25i-nbome. predoplata
101,05-05-2020 23:12:05,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0196,5430,491,14545,,200,,,,,,,,,KURYER..500RUB.+BONUS
