,Unnamed: 0,time_stamp,region,sell_code,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Saburtalo,Дигоми,Zahesi,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
65,65,24-06-2020 16:19:49,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,9,Тбилиси,5 гр,0.0196,13079,5083,450,,True,190.0,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
66,66,24-06-2020 16:19:49,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,9,Тбилиси,5 гр,0.0504,33662,13081,1159,,True,489.0,,,,,,,,,,💘✨5g. MDMA ✨💘
67,67,24-06-2020 16:19:49,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0919,61954,24075,2132,,True,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
68,68,24-06-2020 16:19:49,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0562,37861,14713,1303,,True,550.0,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
69,69,24-06-2020 16:19:49,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0715,48186,18725,1658,,True,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
70,70,24-06-2020 16:19:49,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0429,28912,11235,995,,True,420.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
71,71,24-06-2020 16:21:25,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0818,55070,21400,1895,,True,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
72,72,24-06-2020 16:21:25,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",,нет,10,Тбилиси,10 гр,0.0337,22716,8828,782,,True,330.0,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
73,73,24-06-2020 16:21:25,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2274,153164,59519,5271,,True,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
74,74,24-06-2020 16:21:25,Tbilisi,54915c4374,Марки н-боом 10 шт.,,нет,8,Тбилиси,10 гр,0.0102,6884,2675,237,,True,100.0,,,,,,,,,,Marki n-boom 10 sht.
75,75,24-06-2020 16:21:25,Tbilisi,54915c4374,Сирец (геройн) очень сильный 10 гр,,нет,2,Тбилиси,10 гр,0.2248,151443,58850,5212,,True,2200.0,,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 10 gr
76,76,24-06-2020 16:21:25,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,9,Тбилиси,10 гр,0.1609,107318,41703,3694,,True,1559.0,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
77,77,24-06-2020 16:21:25,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,,нет,5,Тбилиси,10 гр,0.0814,54313,21106,1869,,True,789.0,,,,,,,,,,💘✨10gram MDMA ✨💘
78,78,24-06-2020 16:21:25,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,8,Тбилиси,10 гр,0.0381,25401,9871,874,,True,369.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
79,79,24-06-2020 16:21:25,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,2,Тбилиси,11 гр,0.0453,30326,11786,1043,390.0,True,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
80,80,24-06-2020 16:21:25,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,,нет,3,Тбилиси,20 гр,0.1394,103256,40125,3554,,True,1500.0,,,,,,,,,,✨💘20g MDMA💘✨
81,81,24-06-2020 16:21:25,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0618,41234,16023,1419,,True,599.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
82,82,24-06-2020 16:21:25,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,,нет,5,Тбилиси,50 гр,0.1328,89420,34748,3078,,True,1299.0,,,,,,,,,,50 gr georgian weed. Package on magnet
