,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Saburtalo,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
64,64,18-07-2020 17:06:45,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0211,14343,5530,480,200.0,True,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
65,65,18-07-2020 17:06:45,Tbilisi,54915c4374,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0263,17928,6913,600,250.0,True,,,,,,,,,Rabota na marki (kur'er)
66,66,18-07-2020 17:06:45,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,,нет,1,Тбилиси,5 гр,0.0527,35857,13825,1200,500.0,True,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
67,67,18-07-2020 17:06:45,Tbilisi,ae784bef73,Работа курьером,,нет,1,Тбилиси,10 гр,0.0211,14343,5530,480,200.0,True,,,,,,,,,Rabota kur'erom
68,68,18-07-2020 17:06:45,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5946,1075709,414750,35991,15000.0,True,,,,,,,,,Vakansija optovogo kur'era na mef
69,69,18-07-2020 17:08:18,Batumi,75738ec358,ASTRAL 1g,,4,нет,Батуми,1 гр,0.0081,5737,2212,192,80.0,,,,,,,True,True,,ASTRAL 1g
70,70,18-07-2020 17:08:18,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,6,нет,Батуми,2 гр,0.0044,3012,1161,101,42.0,,,,,,,True,,,Melkie shishki (Indica) 2g
71,71,18-07-2020 17:08:18,Batumi,3c4662c591,шишки марихуаны 5G,,1,нет,Батуми,5 гр,0.0264,17928,6913,600,250.0,,,,,,,,True,,shishki marihuany 5G
72,72,18-07-2020 17:08:18,Batumi,3c4662c591,Super Critical 10G,,1,нет,Батуми,10 гр,0.0474,32271,12443,1080,450.0,,,,,,,,True,,Super Critical 10G
73,73,18-07-2020 17:08:18,Batumi,f8a875c191,METADON - 0.30 - SALE,,1,5,Батуми,0.3 гр,0.0319,21514,8295,720,300.0,,,,,,,True,,,METADON - 0.30 - SALE
74,74,18-07-2020 17:08:18,Batumi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,2,Батуми,1 гр,0.0376,25321,9750,847,,,,310.0,,,,True,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
75,75,18-07-2020 17:08:18,Batumi,7c2ccfb3f3,Мефедрон 3г,,нет,3,Батуми,3 гр,0.0335,25100,9678,840,350.0,,,,,,,True,,,Mefedron 3g
76,76,18-07-2020 17:08:18,Batumi,7c2ccfb3f3,Таблы Punisher 300 mg. 5шт.,,нет,4,Батуми,5 гр,0.0403,30120,11613,1008,420.0,,,,,,,True,,,Tably Punisher 300 mg. 5sht.
77,77,18-07-2020 17:08:18,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0533,35940,13838,1202,,,,440.0,,,,True,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
78,78,18-07-2020 17:08:18,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0473,31856,12266,1065,,,,390.0,,,,True,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
79,79,18-07-2020 17:08:18,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,2,Батуми,11 гр,0.0484,32591,12549,1090,,,,399.0,,,,True,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
80,80,18-07-2020 17:08:18,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1661,112990,51992,3780,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
81,81,18-07-2020 17:08:18,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.263,178900,82321,5984,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
82,82,18-07-2020 17:08:18,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7171,2765,240,100.0,,,,,,,True,,,kur'er v Batumi
83,83,18-07-2020 17:08:18,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.024,17928,6913,600,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
84,84,18-07-2020 17:08:18,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.024,17928,6913,600,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
85,85,18-07-2020 17:08:18,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0211,14343,5530,480,200.0,,,,,,,True,,,Kur'er Batumi na marihuanu
86,86,18-07-2020 17:08:18,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5959,1075709,414750,35991,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
87,87,18-07-2020 17:08:18,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0527,35857,13825,1200,500.0,,,,,,,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
88,88,18-07-2020 17:09:29,Kutaisi,b7446e2cca,CUSTOM Шишки 230g 3in1,,1,нет,Кутаиси,230 гр,0.4449,302633,116683,10125,4220.0,,,,,,,,,True,CUSTOM Shishki 230g 3in1
