,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,Nadzaladevi,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Тбилиси,Vake,€,Didube,Авлобари,Центр,Батуми,Кутаиси,desc_en
83,83,04-04-2020 19:50:53,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,,нет,1,Тбилиси,150 гр,0.2168,116599,41475,3877,1500.0,,True,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
84,84,04-04-2020 19:50:53,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,,нет,1,Тбилиси,250 гр,0.6584,357570,127190,11889,4600.0,,True,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
85,85,04-04-2020 19:50:53,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,,нет,1,Тбилиси,500 гр,1.0735,582994,207375,19385,7500.0,,True,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
86,86,04-04-2020 19:50:53,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,,нет,3,Тбилиси,10000 гр,1.2166,660726,235025,21969,8500.0,,True,,,,,,,,10000sht marki 25i-nbome. predoplata
87,87,04-04-2020 19:50:53,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,,2,нет,Тбилиси,1 гр,0.026000000000000002,15547,5530,517,200.0,,True,,,,,,,,KURYER..500RUB.+BONUS
88,88,04-04-2020 19:50:53,Tbilisi,e56bb6ca93,"Работа курьером в Тбилиси, ЗП от 1500$ в месяц, работа только с марихуаной, залог от 200$",,,1,нет,Тбилиси,1 гр,0.0215,11660,4148,388,150.0,,True,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1500$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 200$"
89,89,04-04-2020 19:50:53,Tbilisi,f25c0d6c5c,Требуется курьер,,,1,нет,Тбилиси,1 гр,0.0167,10000,4602,336,,,True,,,,,,,,Trebuetsja kur'er
90,90,04-04-2020 19:50:53,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,,нет,2,Тбилиси,1 гр,0.0286,15547,5530,517,200.0,,True,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
91,91,04-04-2020 19:50:53,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,,нет,1,Тбилиси,1 гр,0.0358,19433,6913,646,250.0,,True,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
92,92,04-04-2020 19:50:53,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,,нет,1,Тбилиси,400 гр,2.1665,1165988,414750,38769,15000.0,,True,,,,,,,,Vakansija optovogo kur'era na mef
