,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Zahesi,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
82,01-07-2020 07:25:26,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7859,528310,200625,18092,7500,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
83,01-07-2020 07:25:26,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8907,598751,227375,20505,8500,,,,,,,,,,10000sht marki 25i-nbome. predoplata
84,01-07-2020 07:25:26,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0191,14088,5350,482,200,,,,,,,,,,KURYER..500RUB.+BONUS
85,01-07-2020 07:25:26,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.021,14088,5350,482,200,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
86,01-07-2020 07:25:26,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0262,17610,6688,603,250,,,,,,,,,,Rabota na marki (kur'er)
87,01-07-2020 07:25:26,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5862,1056620,401250,36185,15000,,,,,,,,,,Vakansija optovogo kur'era na mef
88,01-07-2020 07:28:36,Batumi,GGVQZ,KARAVANos,Мощные шишки NORTHERN LIGHTS (INDICA) 1г,,1,нет,Батуми,1 гр,0.0063,4226,1605,145,60,,,,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 1g
89,01-07-2020 07:28:36,Batumi,6KB,Marioshop,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 2pc 🎭🔮🧞‍♀️",,25,нет,Батуми,2 гр,0.0113,7504,2855,257,,,,,,95,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 2pc 🎭🔮🧞‍♀️"
90,01-07-2020 07:28:36,Batumi,Z9UT,Rainbow,Super Critical 10G,,4,нет,Батуми,10 гр,0.0472,31699,12038,1086,450,,,,,,,,,True,Super Critical 10G
91,01-07-2020 07:28:36,Batumi,XH0NP,XX-PABLO-XX,METADON - 0.25 - SALE,,3,10,Батуми,0.25 гр,0.0265,17610,6688,603,250,,,,,,,,True,,METADON - 0.25 - SALE
92,01-07-2020 07:28:36,Batumi,A3I9,Joookerrr,Геройн (сирец) 5 гр,,нет,2,Батуми,5 гр,0.1572,105662,40125,3618,1500,,,,,,,,True,,Gerojn (sirets) 5 gr
93,01-07-2020 07:28:36,Batumi,A3I9,Joookerrr,Сирец (геройн) очень сильный 10 гр,,нет,2,Батуми,10 гр,0.2306,154971,58850,5307,2200,,,,,,,,True,,Sirets (gerojn) ochen' sil'nyj 10 gr
94,01-07-2020 07:28:36,Batumi,6KB,Marioshop,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,5,Батуми,11 гр,0.0498,33177,12621,1137,,,,,,420,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
95,01-07-2020 07:28:36,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1681,112990,51992,3867,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
96,01-07-2020 07:28:36,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2662,178900,82321,6123,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
97,01-07-2020 07:28:36,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0095,7044,2675,241,100,,,,,,,,True,,kur'er v Batumi
98,01-07-2020 07:28:36,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0238,17610,6688,603,250,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
99,01-07-2020 07:28:36,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0238,17610,6688,603,250,,,,,,,,True,,Ischu kur'era v Gruzii!
100,01-07-2020 07:28:36,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.021,14088,5350,482,200,,,,,,,,True,,Kur'er Batumi na marihuanu
101,01-07-2020 07:28:36,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5864,1056620,401250,36185,15000,,,,,,,,True,,Vakansija optovogo kur'era na mef
102,01-07-2020 07:28:36,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0524,35221,13375,1206,500,,,,,,,,True,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
