,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Gldani,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
63,21-05-2020 16:52:52,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8815,602854,229160,20474,8500,,,,,,,,,,10000sht marki 25i-nbome. predoplata
64,21-05-2020 16:52:52,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0189,14185,5392,482,200,,,,,,,,,,KURYER..500RUB.+BONUS
65,21-05-2020 16:52:52,Tbilisi,8B31,GEOWEEDSHOP,"Работа курьером в Тбилиси, ЗП от 4500$ в месяц, залог от 400$",True,1,нет,Тбилиси,1 гр,0.0415,28370,10784,963,400,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 4500$ v mesjats, zalog ot 400$"
66,21-05-2020 16:52:52,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0207,14185,5392,482,200,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
67,21-05-2020 16:52:52,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0259,17731,6740,602,250,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
68,21-05-2020 16:52:52,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5697,1063860,404400,36131,15000,,,,,,,,,,Vakansija optovogo kur'era na mef
69,21-05-2020 16:53:26,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5752,1063860,404400,36131,15000,,,,,,,,,,Vakansija optovogo kur'era na mef
70,21-05-2020 16:54:56,Batumi,EIH4,San4oPan4o,ГАШИШ твердый!!! Hash!!!! 0.5 g !!! SALE!!! !!! БАТУМИ !!! BTC SALE 5%!!!,,9,нет,Батуми,0.5 гр,0.0062,4255,1618,145,60,,,,,,,True,,,GAShISh tverdyj!!! Hash!!!! 0.5 g !!! SALE!!! !!! BATUMI !!! BTC SALE 5%!!!
71,21-05-2020 16:54:56,Batumi,EIH4,San4oPan4o,ГАШИШ твердый!!! Hash!!!! 1 g !!! SALE!!! !!! БАТУМИ !!! BTC SALE 5%!!!,,3,нет,Батуми,1 гр,0.0108,7447,2831,253,105,,,,,,,True,,,GAShISh tverdyj!!! Hash!!!! 1 g !!! SALE!!! !!! BATUMI !!! BTC SALE 5%!!!
72,21-05-2020 16:54:56,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2282,156033,59312,5299,2200,,,,,,,True,,,[100g] SPAIN HASH
73,21-05-2020 16:54:56,Batumi,A3I9,Joookerrr,Батуми н-бооом 2 штуки,,нет,10,Батуми,2 гр,0.0038,2567,977,87,,,,,33,,,True,,,Batumi n-booom 2 shtuki
74,21-05-2020 16:54:56,Batumi,A3I9,Joookerrr,MDMA !! 3 грамма,,нет,2,Батуми,3 гр,0.0415,28370,10784,963,400,,,,,,,True,,,MDMA !! 3 gramma
75,21-05-2020 16:54:56,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1652,112990,51992,3765,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
76,21-05-2020 16:54:56,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2616,178900,82321,5961,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
77,21-05-2020 16:54:56,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0094,7092,2696,241,100,,,,,,,True,,,kur'er v Batumi
78,21-05-2020 16:54:56,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0236,17731,6740,602,250,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
79,21-05-2020 16:54:56,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0236,17731,6740,602,250,,,,,,,True,,,Ischu kur'era v Gruzii!
80,21-05-2020 16:54:56,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5697,1063860,404400,36131,15000,,,,,,,True,,,Vakansija optovogo kur'era na mef
81,21-05-2020 16:54:56,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0519,35462,13480,1204,500,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
82,21-05-2020 16:56:24,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0498,34398,13076,1168,485,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
83,21-05-2020 16:56:24,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,8,нет,Кутаиси,3 гр,0.038,26242,9975,891,370,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
84,21-05-2020 16:56:24,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0207,14185,5392,482,200,,,,,,,,,True,Rabota na marki (kur'er)
