,Unnamed: 0,time_stamp,region,sell_code,description,Авлобари,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Varketili,Old Tbilisi (Старый город),Saburtalo,Nadzaladevi,Gldani,Vazisubani,€,Центр,Батуми,Кутаиси,desc_en
85,85,03-05-2020 14:14:42,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,,нет,1,Тбилиси,400 гр,1.5736,1090895,408000,36215,15000.0,True,,,,,,,,,,,Vakansija optovogo kur'era na mef
86,86,03-05-2020 14:16:26,Batumi,54915c4374,Батуми н-бооом 2 штуки,,,1,нет,Батуми,2 гр,0.0036,2532,950,84,,,,,,,,,32.0,True,,,Batumi n-booom 2 shtuki
87,87,03-05-2020 14:16:26,Batumi,3ee37c89bb,[100g] SPAIN HASH,,,1,нет,Батуми,105 гр,0.2283,159998,59840,5311,2200.0,,,,,,,,,,True,,[100g] SPAIN HASH
88,88,03-05-2020 14:16:26,Batumi,54915c4374,Марки Н-ВоооооМ!!!! 4 штуки,,,нет,10,Батуми,4 гр,0.0063,4431,1663,147,,,,,,,,,56.0,,True,,Marki N-VoooooM!!!! 4 shtuki
89,89,03-05-2020 14:16:26,Batumi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",,,нет,9,Батуми,10 гр,0.0114,8000,2992,266,110.0,,,,,,,,,,True,,"""Dzhoker ekspres"" marki nbooom 10 sht"
90,90,03-05-2020 14:16:26,Batumi,22610cd7c4,курьер в Батуми,,,1,нет,Батуми,1 гр,0.0094,7273,2720,241,100.0,,,,,,,,,,True,,kur'er v Batumi
91,91,03-05-2020 14:16:26,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,,1,нет,Батуми,5 гр,0.0236,18182,6800,604,250.0,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
92,92,03-05-2020 14:16:26,Batumi,ce6827deee,Ищу курьера в Грузии!,,,1,нет,Батуми,50 гр,0.0236,18182,6800,604,250.0,,,,,,,,,,True,,Ischu kur'era v Gruzii!
93,93,03-05-2020 14:16:26,Batumi,ea97036e14,Вакансия оптового курьера на меф,,,нет,1,Батуми,400 гр,1.5706,1090895,408000,36215,15000.0,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
94,94,03-05-2020 14:16:26,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,,нет,2,Батуми,1000 гр,0.0519,36363,13600,1207,500.0,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
95,95,03-05-2020 14:18:26,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,,2,нет,Кутаиси,1.5 гр,0.0224,16000,5984,531,220.0,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
96,96,03-05-2020 14:18:26,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,,7,нет,Кутаиси,2 гр,0.054000000000000006,37818,14144,1255,520.0,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
97,97,03-05-2020 14:18:26,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,,9,нет,Кутаиси,3 гр,0.0397,28363,10608,942,390.0,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
98,98,03-05-2020 14:18:26,Kutaisi,54915c4374,Работа на марки (курьер),,,нет,1,Кутаиси,25 гр,0.0208,14545,5440,483,200.0,,,,,,,,,,,True,Rabota na marki (kur'er)
