,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Gldani,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,€,Батуми,Кутаиси,desc_en
78,08-05-2020 19:53:29,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.0199,14775,5422,491,200,,,,,,,,,,,Rabota na marki (kur'er)
79,08-05-2020 19:53:29,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5066,1108088,406650,36800,15000,,,,,,,,,,,Vakansija optovogo kur'era na mef
80,08-05-2020 19:55:22,Batumi,CLHMD,BatumiBiz,BatumiBiz - Марихуана Бошки [1 gram],,2,нет,Батуми,1 гр,0.0024,1773,651,59,24,,,,,,,True,,,,BatumiBiz - Marihuana Boshki [1 gram]
81,08-05-2020 19:55:22,Batumi,A3I9,Joookerrr,Батуми н-бооом 1 штука,,1,нет,Батуми,1 гр,0.002,1520,558,50,,,,,,,,True,19,,,Batumi n-booom 1 shtuka
82,08-05-2020 19:55:22,Batumi,CLHMD,BatumiBiz,BatumiBiz - Марихуана Бошки [2 gram],,2,нет,Батуми,2 гр,0.0043,3546,1301,118,48,,,,,,,True,,,,BatumiBiz - Marihuana Boshki [2 gram]
83,08-05-2020 19:55:22,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.219,162520,59642,5397,2200,,,,,,,,,True,,[100g] SPAIN HASH
84,08-05-2020 19:55:22,Batumi,A3I9,Joookerrr,"""Джокер экспрес"" марки нбооом 8 шт",,нет,7,Батуми,8 гр,0.008,5910,2169,196,80,,,,,,,,,True,,"""Dzhoker ekspres"" marki nbooom 8 sht"
85,08-05-2020 19:55:22,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1522,112990,51992,3749,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
86,08-05-2020 19:55:22,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.241,178900,82321,5936,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
87,08-05-2020 19:55:22,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0226,18468,6778,613,250,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
88,08-05-2020 19:55:22,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0226,18468,6778,613,250,,,,,,,,,True,,Ischu kur'era v Gruzii!
89,08-05-2020 19:55:22,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5066,1108088,406650,36800,15000,,,,,,,,,True,,Vakansija optovogo kur'era na mef
90,08-05-2020 19:55:22,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0498,36936,13555,1227,500,,,,,,,True,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
91,08-05-2020 19:57:02,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!,,2,нет,Кутаиси,1.5 гр,0.0184,13666,5015,454,185,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!
92,08-05-2020 19:57:02,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!,,7,нет,Кутаиси,2 гр,0.0483,35828,13148,1190,485,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!
93,08-05-2020 19:57:02,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!,,9,нет,Кутаиси,3 гр,0.0329,24378,8946,810,330,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!
94,08-05-2020 19:57:02,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0199,14775,5422,491,200,,,,,,,,,,True,Rabota na marki (kur'er)
