,Unnamed: 0,time_stamp,region,sell_code,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Saburtalo,Дигоми,Nadzaladevi,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
86,86,23-06-2020 15:30:43,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8572,585120,227375,20186,,True,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
87,87,23-06-2020 15:30:43,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0183,13768,5350,475,,True,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
88,88,23-06-2020 15:30:43,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0202,13768,5350,475,,True,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
89,89,23-06-2020 15:30:43,Tbilisi,54915c4374,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0252,17209,6688,594,,True,250.0,,,,,,,,,,Rabota na marki (kur'er)
90,90,23-06-2020 15:30:43,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5264,1032564,401250,35622,,True,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
91,91,23-06-2020 15:32:29,Batumi,be97026d1d,!! БАТУМИ!! !!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!! !! БАТУМИ !!,,8,нет,Батуми,0.25 гр,0.0133,9244,3596,317,119.0,,,,,,,,,,True,,!! BATUMI!! !!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!! !! BATUMI !!
92,92,23-06-2020 15:32:29,Batumi,f8a875c191,METADON - 0.25 - SALE,,1,10,Батуми,0.25 гр,0.0305,20651,8025,712,,,300.0,,,,,,,,True,,METADON - 0.25 - SALE
93,93,23-06-2020 15:32:29,Batumi,54915c4374,Геройн (сирец) 5 гр,,нет,2,Батуми,5 гр,0.1511,103256,40125,3562,,,1500.0,,,,,,,,True,,Gerojn (sirets) 5 gr
94,94,23-06-2020 15:32:29,Batumi,54915c4374,Сирец (геройн) очень сильный 10 гр,,нет,2,Батуми,10 гр,0.2216,151443,58850,5225,,,2200.0,,,,,,,,True,,Sirets (gerojn) ochen' sil'nyj 10 gr
95,95,23-06-2020 15:32:29,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1653,112990,51992,3864,,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
96,96,23-06-2020 15:32:29,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2617,178900,82321,6119,,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
97,97,23-06-2020 15:32:29,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0092,6884,2675,237,,,100.0,,,,,,,,True,,kur'er v Batumi
98,98,23-06-2020 15:32:29,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0229,17209,6688,594,,,250.0,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
