,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Saburtalo,Vake,Didube,.,Дигоми,Nadzaladevi,€,Авлобари,Батуми,Центр,Кутаиси,desc_en
64,26-04-2020 23:13:25,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0321,18679,6838,616,250,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
65,26-04-2020 23:13:25,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.0257,14943,5470,493,200,,,,,,,,,,,,,Rabota na marki (kur'er)
66,26-04-2020 23:13:25,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.9454,1120745,410250,36945,15000,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
67,26-04-2020 23:14:40,Batumi,A3I9,Joookerrr,Батуми н-бооом 4 штуки,,3,нет,Батуми,4 гр,0.0069,4414,1623,146,,,,,,,,,55,,True,,,Batumi n-booom 4 shtuki
68,26-04-2020 23:14:40,Batumi,A3I9,Joookerrr,Батуми н-бооом 10 штук,,2,нет,Батуми,10 гр,0.0126,8025,2950,265,,,,,,,,,100,,True,,,Batumi n-booom 10 shtuk
69,26-04-2020 23:14:40,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2827,164376,60170,5419,2200,,,,,,,,,,True,,,[100g] SPAIN HASH
70,26-04-2020 23:14:40,Batumi,XH0NP,XX-PABLO-XX,METADON - 20 G.,,нет,1,Батуми,20 гр,0.649,373582,136750,12315,5000,,,,,,,,,,True,,,METADON - 20 G.
71,26-04-2020 23:14:40,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0117,7472,2735,246,100,,,,,,,,,,True,,,kur'er v Batumi
72,26-04-2020 23:14:40,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0292,18679,6838,616,250,,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
73,26-04-2020 23:14:40,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0292,18679,6838,616,250,,,,,,,,,,True,,,Ischu kur'era v Gruzii!
74,26-04-2020 23:14:40,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.9454,1120745,410250,36945,15000,,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
75,26-04-2020 23:14:40,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0643,37358,13675,1232,500,,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
76,26-04-2020 23:16:10,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,1.5 гр,0.024,14121,5169,466,189,,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
77,26-04-2020 23:16:10,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0621,36163,13237,1192,484,,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
78,26-04-2020 23:16:10,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0427,24881,9108,820,333,,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
79,26-04-2020 23:16:10,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0257,14943,5470,493,200,,,,,,,,,,,,True,Rabota na marki (kur'er)
