,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
91,26-03-2020 06:11:09,Batumi,XH0NP,XX-PABLO-XX,METADON - BATUMI - 0.27 G,,2,5,Батуми,0.27 гр,0.0346,19448,7063,645,250,,,,,,,True,,,METADON - BATUMI - 0.27 G
92,26-03-2020 06:11:09,Batumi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,нет,14,Батуми,5 гр,0.0249,15559,5650,516,200,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
93,26-03-2020 06:11:09,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2771,155586,56500,5158,2000,,,,,,,,True,,SUBOXIN - HQ - 100 G.
94,26-03-2020 06:11:09,Batumi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2078,116689,42375,3868,1500,,,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
95,26-03-2020 06:11:09,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0125,7779,2825,258,100,,,,,,,,True,,kur'er v Batumi
96,26-03-2020 06:11:09,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0312,19448,7063,645,250,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
97,26-03-2020 06:11:09,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0187,11669,4238,387,150,,,,,,,,True,,Rabota na marki (kur'er)
98,26-03-2020 06:11:09,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0312,19448,7063,645,250,,,,,,,,True,,Ischu kur'era v Gruzii!
99,26-03-2020 06:11:09,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.0762,1166892,423750,38684,15000,,,,,,,,True,,Vakansija optovogo kur'era na mef
100,26-03-2020 06:11:09,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0686,38896,14125,1289,500,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
101,26-03-2020 06:13:00,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 1g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,8,нет,Кутаиси,1 гр,0.0265,15170,5509,503,195,,,,,,,,,True,Columbia Cocaine VHQ 1g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
