,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Gldani,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
65,65,10-05-2020 09:20:06,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0477,31026,11386,1025,420.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
66,66,10-05-2020 09:20:06,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,нет,39,Тбилиси,10 гр,0.0113,7387,2711,244,100.0,,,,,,,,,,10G Hybrid Marijuana Leafs
67,67,10-05-2020 09:20:06,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.0908,59098,21688,1953,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
68,68,10-05-2020 09:20:06,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0329,21423,7862,708,290.0,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
69,69,10-05-2020 09:21:00,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2556,164366,60320,5432,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
70,70,10-05-2020 09:21:00,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1809,115167,42264,3806,1559.0,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
71,71,10-05-2020 09:21:00,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0428,27259,10004,901,369.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
72,72,10-05-2020 09:21:00,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.58,369363,135550,12208,5000.0,,,,,,,,,,METADON - 20 G.
73,73,10-05-2020 09:21:00,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0695,44250,16239,1462,599.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
74,74,10-05-2020 09:21:00,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1263,81260,29821,2686,1100.0,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
