,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Varketili,Gldani,Saburtalo,Vake,Old Tbilisi (Старый город),Авлобари,Дигоми,Vazisubani,Nadzaladevi,Tbilisis Zgva,€,Батуми,Центр,Кутаиси,desc_en
58,58,24-04-2020 05:21:19,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,1,Тбилиси,200 гр,0.4114,236656,85838,7776,3150.0,,,,,,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
59,59,24-04-2020 05:21:19,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6007,345593,125350,11356,4600.0,,,,,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
60,60,24-04-2020 05:21:19,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.9794,563468,204375,18515,7500.0,,,,,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
61,61,24-04-2020 05:21:19,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.11,638597,231625,20984,8500.0,,,,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
62,62,24-04-2020 05:21:19,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0237,15026,5450,494,200.0,,,,,,,,,,,,,,,,KURYER..500RUB.+BONUS
63,63,24-04-2020 05:21:19,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0261,15026,5450,494,200.0,,,,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
64,64,24-04-2020 05:21:19,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0326,18782,6813,617,250.0,,,,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
65,65,24-04-2020 05:21:19,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.0261,15026,5450,494,200.0,,,,,,,,,,,,,,,,Rabota na marki (kur'er)
66,66,24-04-2020 05:21:19,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.9767,1126935,408750,37031,15000.0,,,,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
67,67,24-04-2020 05:22:31,Batumi,54915c4374,Батуми н-бооом 1 штука,,1,нет,Батуми,1 гр,0.0023,1461,531,48,,,,,,,,,,,,,18.0,True,,,Batumi n-booom 1 shtuka
