,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Old Tbilisi (Старый город),$,Saburtalo,Didube,€,Авлобари,Батуми,Центр,Кутаиси,desc_en
66,15-05-2020 23:36:04,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2069,53700,4902,146411,,2000,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
67,15-05-2020 23:36:04,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2587,67125,6128,183014,,2500,,,,,,,,Marihuana [Shishki] [Gali] 100G
68,15-05-2020 23:36:04,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6105,158415,14462,431913,,5900,,,,,,,,180 gr marihuana persoalno
69,15-05-2020 23:37:08,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8832,228225,20835,622248,,8500,,,,,,,,10000sht marki 25i-nbome. predoplata
70,15-05-2020 23:37:08,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0189,5370,490,14641,,200,,,,,,,,KURYER..500RUB.+BONUS
71,15-05-2020 23:37:08,Tbilisi,8B31,GEOWEEDSHOP,"Работа курьером в Тбилиси, ЗП от 4500$ в месяц, залог от 400$",True,1,нет,Тбилиси,1 гр,0.0416,10740,980,29282,,400,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 4500$ v mesjats, zalog ot 400$"
72,15-05-2020 23:37:08,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0208,5370,490,14641,,200,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
73,15-05-2020 23:37:08,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.026,6713,613,18301,,250,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
74,15-05-2020 23:37:08,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5728,402750,36768,1098084,,15000,,,,,,,,Vakansija optovogo kur'era na mef
75,15-05-2020 23:38:41,Batumi,1L2R,svanweed,svan ice 1g,,1,нет,Батуми,1 гр,0.004,1128,103,3075,,42,,,,,True,,,svan ice 1g
76,15-05-2020 23:38:41,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2286,59070,5393,161052,,2200,,,,,True,,,[100g] SPAIN HASH
77,15-05-2020 23:38:41,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1604,51992,3751,112990,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
78,15-05-2020 23:38:41,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2539,82321,5939,178900,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
79,15-05-2020 23:38:41,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0094,2685,245,7321,,100,,,,,True,,,kur'er v Batumi
80,15-05-2020 23:38:41,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0236,6713,613,18301,,250,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
81,15-05-2020 23:38:41,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0236,6713,613,18301,,250,,,,,True,,,Ischu kur'era v Gruzii!
82,15-05-2020 23:38:41,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5728,402750,36768,1098084,,15000,,,,,True,,,Vakansija optovogo kur'era na mef
83,15-05-2020 23:38:41,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.052,13425,1226,36603,,500,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
84,15-05-2020 23:40:08,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,1.5 гр,0.0214,5639,515,15373,,210,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
85,15-05-2020 23:40:08,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0499,13022,1189,35505,,485,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
86,15-05-2020 23:40:08,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,8,нет,Кутаиси,3 гр,0.0387,10203,931,27818,,380,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
87,15-05-2020 23:40:08,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0208,5370,490,14641,,200,,,,,,,True,Rabota na marki (kur'er)
