,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Didube,Vazisubani,Saburtalo,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
57,02-06-2020 08:48:15,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,5,Тбилиси,11 гр,0.0317,21959,8505,756,315,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
58,02-06-2020 08:48:15,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,True,нет,2,Тбилиси,20 гр,0.5049,348557,135000,12004,5000,,,,,,,,,,,METADON - 20 G.
59,02-06-2020 08:48:15,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0605,41757,16173,1438,599,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
60,02-06-2020 08:48:15,Tbilisi,7LHWP,GEOBUDS,50 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,50 гр,0.1299,90555,35073,3119,1299,,,,,,,,,,,50 gr georgian weed. Package on magnet
61,02-06-2020 08:48:15,Tbilisi,7LHWP,GEOBUDS,100 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,100 гр,0.2498,174209,67473,6000,2499,,,,,,,,,,,100 gr georgian weed. Package on magnet
62,02-06-2020 08:48:15,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2399,167307,64800,5762,2400,,,,,,,,,,,100 gr marijuana buds
63,02-06-2020 08:48:15,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2,139423,54000,4802,2000,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
64,02-06-2020 08:48:15,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2499,174279,67500,6002,2500,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
65,02-06-2020 08:48:15,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.5899,411297,159300,14165,5900,,,,,,,,,,,180 gr marihuana persoalno
66,02-06-2020 08:48:15,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4599,320672,124200,11044,4600,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
67,02-06-2020 08:48:15,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7498,522836,202500,18006,7500,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
68,02-06-2020 08:49:04,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8494,592547,229500,20407,8500,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
69,02-06-2020 08:49:04,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0182,13942,5400,480,200,,,,,,,,,,,KURYER..500RUB.+BONUS
70,02-06-2020 08:49:04,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.02,13942,5400,480,200,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
71,02-06-2020 08:49:04,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.025,17428,6750,600,250,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
72,02-06-2020 08:49:04,Tbilisi,6P9R,RickNMorty,рик и морти ишит куриера зп от 1100 $ в месец залог 200$ | Rick And Morty Need DG Sallary from 1100$ prepay 200$,True,нет,1,Тбилиси,1 гр,0.02,13942,5400,480,200,,,,,,,,,,,rik i morti ishit kuriera zp ot 1100 $ v mesets zalog 200$ | Rick And Morty Need DG Sallary from 1100$ prepay 200$
73,02-06-2020 08:49:04,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5125,1045671,405000,36012,15000,,,,,,,,,,,Vakansija optovogo kur'era na mef
74,02-06-2020 08:50:40,Batumi,A3I9,Joookerrr,Марки н-БоооооооМ 4 шт,,2,нет,Батуми,4 гр,0.0056,3904,1512,134,56,,,,,,,True,,,,Marki n-BoooooooM 4 sht
