,time_stamp,region,sell_code,sell_name,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,Saburtalo,$,Didube,Gldani,Vake,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,Кутаиси,desc_en
68,13-07-2020 07:36:53,Tbilisi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,5,Тбилиси,10 гр,0.0522,35318,13508,1207,440,True,,,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
69,13-07-2020 07:37:47,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Тбилиси,11 гр,0.0463,31305,11973,1070,390,True,,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
70,13-07-2020 07:37:47,Tbilisi,6KB,Marioshop,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,3,Тбилиси,11 гр,0.0474,32027,12249,1095,399,True,,,,,,,,,,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
71,13-07-2020 07:37:47,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 15 гр",,нет,1,Тбилиси,15 гр,0.0617,46299,17713,1580,,True,,650,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
72,13-07-2020 07:37:47,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2505,170952,65400,5832,,True,,2400,,,,,,,,,,100 gr marijuana buds
73,13-07-2020 07:37:47,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.261,178075,68125,6075,,True,,2500,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
74,13-07-2020 07:37:47,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6159,420256,160775,14337,,True,,5900,,,,,,,,,,180 gr marihuana persoalno
75,13-07-2020 07:37:47,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8872,605453,231625,20655,,True,,8500,,,,,,,,,,10000sht marki 25i-nbome. predoplata
76,13-07-2020 07:37:47,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.019,14246,5450,486,,True,,200,,,,,,,,,,KURYER..500RUB.+BONUS
77,13-07-2020 07:37:47,Tbilisi,LGRP8,Walker12,Ишем куриера в тбилиси!! срочно!! толко марихуана!!,,1,нет,Тбилиси,1 гр,0.0157,10684,4088,365,,True,,150,,,,,,,,,,Ishem kuriera v tbilisi!! srochno!! tolko marihuana!!
