,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Saburtalo,Gldani,Дигоми,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
69,13-03-2020 03:49:24,Tbilisi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),True,нет,15,Тбилиси,5 гр,0.0311,14805,5334,469,200,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
70,13-03-2020 03:49:24,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3955,190000,87429,6015,,,,,,,,,,,,reagent 25i nbome. 5gr
71,13-03-2020 03:49:24,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.4664,222082,80010,7042,3000,,True,,,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
72,13-03-2020 03:49:24,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.1484,63590,22910,2016,859,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
73,13-03-2020 03:49:24,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.032,13695,4934,434,185,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
74,13-03-2020 03:49:24,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0845,36199,13042,1148,489,,,,,,,,,,,💘✨5g. MDMA ✨💘
75,13-03-2020 03:49:24,Tbilisi,9VLN,AlienShop,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0568,24355,8774,772,329,,,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
76,13-03-2020 03:49:24,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1539,66625,24003,2113,900,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
77,13-03-2020 03:49:24,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.1197,51819,18669,1643,700,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
78,13-03-2020 03:49:24,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0682,29537,10641,937,399,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
79,13-03-2020 03:49:24,Tbilisi,NVOG,ProperMgzn,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0605,25910,9335,822,350,,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
80,13-03-2020 03:49:24,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.1368,59222,21336,1878,800,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
81,13-03-2020 03:49:24,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3805,164711,59341,5223,2225,,,,,,,,,,,Amfetamin [White] [Import] 10G
82,13-03-2020 03:49:24,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.2503,107266,38645,3401,1449,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
83,13-03-2020 03:49:24,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0637,27316,9841,866,369,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
84,13-03-2020 03:49:24,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0516,22134,7974,702,299,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
85,13-03-2020 03:49:24,Tbilisi,EIH4,San4oPan4o,MDMA 20 g,True,нет,1,Тбилиси,20 гр,0.2907,125847,45339,3991,1700,,,,,,,,,,,MDMA 20 g
86,13-03-2020 03:49:24,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.1035,44342,15975,1406,599,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
87,13-03-2020 03:49:24,Tbilisi,ABOAB,ProGrow,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.1149,51819,18669,1643,700,,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
88,13-03-2020 03:49:24,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1866,88833,32004,2817,1200,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
89,13-03-2020 03:49:24,Tbilisi,ABOAB,ProGrow,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1639,73953,26643,2345,999,,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
90,13-03-2020 03:49:24,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.342,148055,53340,4695,2000,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
91,13-03-2020 03:49:24,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.3454,148055,53340,4695,2000,,,,,,,,,,,SUBOXIN - HQ - 100 G.
92,13-03-2020 03:49:24,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.4275,185069,66675,5869,2500,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
93,13-03-2020 03:49:24,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.2591,111041,40005,3521,1500,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
94,13-03-2020 03:49:24,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.7866,340526,122682,10798,4600,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
95,13-03-2020 03:49:24,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.2825,555206,200025,17606,7500,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
96,13-03-2020 03:49:24,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.4535,629233,226695,19953,8500,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
97,13-03-2020 03:49:24,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0311,14805,5334,469,200,,,,,,,,,,,KURYER..500RUB.+BONUS
98,13-03-2020 03:49:24,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0233,11104,4001,352,150,,,,,,,,,,,Rabota na marki (kur'er)
99,13-03-2020 03:49:24,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0342,14805,5334,469,200,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
100,13-03-2020 03:49:24,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0428,18507,6668,587,250,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
101,13-03-2020 03:50:01,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.5884,1110411,400050,35211,15000,,,,,,,,,,,Vakansija optovogo kur'era na mef
102,13-03-2020 03:51:09,Batumi,72B,CHINATOWN,NZT-52 limited 1 г мука,,20,нет,Батуми,1 гр,0.0311,14805,5334,469,200,,,,,,,,True,,,NZT-52 limited 1 g muka
103,13-03-2020 03:51:09,Batumi,XHR,420Factory,Power Africa 1g,,1,нет,Батуми,1 гр,0.0078,3701,1334,117,50,,,,,,,,True,,,Power Africa 1g
104,13-03-2020 03:51:09,Batumi,72B,CHINATOWN,NZT-52 limited 2г мука,,11,нет,Батуми,2 гр,0.056,26650,9601,845,360,,,,,,,,True,,,NZT-52 limited 2g muka
