,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Nadzaladevi,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
68,68,28-04-2020 21:59:36,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.27899999999999997,164055,59950,5419,2200.0,,,,,,,True,,,[100g] SPAIN HASH
69,69,28-04-2020 21:59:36,Batumi,f8a875c191,METADON - 20 G.,,нет,1,Батуми,20 гр,0.6404,372853,136250,12315,5000.0,,,,,,,True,,,METADON - 20 G.
70,70,28-04-2020 21:59:36,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0115,7457,2725,246,100.0,,,,,,,True,,,kur'er v Batumi
71,71,28-04-2020 21:59:36,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0288,18643,6813,616,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
72,72,28-04-2020 21:59:36,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0288,18643,6813,616,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
73,73,28-04-2020 21:59:36,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.9194,1118559,408750,36945,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
74,74,28-04-2020 21:59:36,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0634,37285,13625,1232,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
75,75,28-04-2020 22:02:06,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,1.5 гр,0.0237,14094,5150,466,189.0,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
76,76,28-04-2020 22:02:06,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0614,36092,13189,1192,484.0,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
77,77,28-04-2020 22:02:06,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0422,24832,9074,820,333.0,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
78,78,28-04-2020 22:02:06,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0254,14914,5450,493,200.0,,,,,,,,,True,Rabota na marki (kur'er)
