,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Didube,Gldani,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
63,22-05-2020 06:56:53,Tbilisi,7LHWP,GEOBUDS,20 gr georgian weed. Package on magnet,True,нет,11,Тбилиси,20 гр,0.0561,37519,14262,1262,529,,,,,,,,,,,20 gr georgian weed. Package on magnet
64,22-05-2020 06:56:53,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5359,354620,134800,11928,5000,,,,,,,,,,,METADON - 20 G.
65,22-05-2020 06:56:53,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0642,42483,16149,1429,599,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
66,22-05-2020 06:56:53,Tbilisi,7LHWP,GEOBUDS,50 gr georgian weed. Package on magnet,True,нет,7,Тбилиси,50 гр,0.1379,92130,35021,3099,1299,,,,,,,,,,,50 gr georgian weed. Package on magnet
67,22-05-2020 06:56:53,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1167,78016,29656,2624,1100,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
68,22-05-2020 06:56:53,Tbilisi,7LHWP,GEOBUDS,100 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,100 гр,0.2652,177239,67373,5962,2499,,,,,,,,,,,100 gr georgian weed. Package on magnet
69,22-05-2020 06:57:34,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2547,170218,64704,5725,2400,,,,,,,,,,,100 gr marijuana buds
70,22-05-2020 06:57:34,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2122,141848,53920,4771,2000,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
71,22-05-2020 06:57:34,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2653,177310,67400,5964,2500,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
72,22-05-2020 06:57:34,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6261,418452,159064,14075,5900,,,,,,,,,,,180 gr marihuana persoalno
73,22-05-2020 06:57:34,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4882,326250,124016,10974,4600,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
