,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
57,20-05-2020 21:19:28,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0836,57870,21520,1933,800,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
58,20-05-2020 21:19:28,Tbilisi,6P9R,RickNMorty,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0303,20978,7801,701,290,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
59,20-05-2020 21:19:28,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2325,160952,59853,5375,2225,,,,,,,,,,Amfetamin [White] [Import] 10G
60,20-05-2020 21:19:28,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1645,112775,41937,3766,1559,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
61,20-05-2020 21:19:28,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0389,26693,9926,891,369,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
62,20-05-2020 21:19:28,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0332,22787,8474,761,315,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
63,20-05-2020 21:19:28,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5276,361691,134500,12080,5000,,,,,,,,,,METADON - 20 G.
64,20-05-2020 21:19:28,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0632,43331,16113,1447,599,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
65,20-05-2020 21:19:28,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1149,79572,29590,2657,1100,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
66,20-05-2020 21:19:28,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2508,173611,64560,5798,2400,,,,,,,,,,100 gr marijuana buds
67,20-05-2020 21:19:28,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.209,144676,53800,4832,2000,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
68,20-05-2020 21:19:28,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2612,180845,67250,6040,2500,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
69,20-05-2020 21:20:18,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4806,332755,123740,11113,4600,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
70,20-05-2020 21:20:18,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7835,542536,201750,18119,7500,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
71,20-05-2020 21:20:18,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.888,614874,228650,20535,8500,,,,,,,,,,10000sht marki 25i-nbome. predoplata
