,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vazisubani,Saburtalo,Zahesi,Дигоми,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
77,01-07-2020 23:21:38,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2079,140883,53920,4825,2000,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
78,01-07-2020 23:21:38,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2599,176103,67400,6031,2500,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
79,01-07-2020 23:21:38,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6134,415604,159064,14233,5900,,,,,,,,,,,180 gr marihuana persoalno
80,01-07-2020 23:21:38,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4783,324030,124016,11097,4600,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
81,01-07-2020 23:21:38,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7798,528310,202200,18092,7500,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
82,01-07-2020 23:21:38,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8837,598751,229160,20505,8500,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
83,01-07-2020 23:21:38,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0189,14088,5392,482,200,,,,,,,,,,,KURYER..500RUB.+BONUS
84,01-07-2020 23:21:38,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.026,17610,6740,603,250,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
85,01-07-2020 23:21:38,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0208,14088,5392,482,200,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
86,01-07-2020 23:21:38,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.026,17610,6740,603,250,,,,,,,,,,,Rabota na marki (kur'er)
87,01-07-2020 23:21:38,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5737,1056620,404400,36185,15000,,,,,,,,,,,Vakansija optovogo kur'era na mef
88,01-07-2020 23:24:10,Batumi,6KB,Marioshop,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 2pc 🎭🔮🧞‍♀️",,21,нет,Батуми,2 гр,0.0112,7523,2874,257,,,,,,,95,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 2pc 🎭🔮🧞‍♀️"
