,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Saburtalo,Vake,Дигоми,Didube,Gldani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
61,61,21-03-2020 16:35:03,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.2119,113086,40717,3708,1449.0,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
62,62,21-03-2020 16:35:03,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.054000000000000006,28798,10369,944,369.0,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
63,63,21-03-2020 16:35:03,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0437,23335,8402,765,299.0,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
64,64,21-03-2020 16:35:03,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0876,46749,16832,1533,599.0,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
65,65,21-03-2020 16:35:03,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.158,93653,33720,3071,1200.0,,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
66,66,21-03-2020 16:35:51,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2906,156089,56200,5118,2000.0,,,,,,,,,,,,SUBOXIN - HQ - 100 G.
67,67,21-03-2020 16:35:51,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3597,195111,70250,6398,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
68,68,21-03-2020 16:35:51,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.218,117066,42150,3839,1500.0,,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
69,69,21-03-2020 16:35:51,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6618,359004,129260,11772,4600.0,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
70,70,21-03-2020 16:35:51,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.079,585332,210750,19193,7500.0,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
