,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Gldani,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
52,27-05-2020 01:18:51,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0349,22409,8540,756,315,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
53,27-05-2020 01:18:51,Tbilisi,7LHWP,GEOBUDS,20 gr georgian weed. Package on magnet,True,нет,11,Тбилиси,20 гр,0.0437,28385,10817,957,399,,,,,,,,,,,,20 gr georgian weed. Package on magnet
54,27-05-2020 01:18:51,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5534,355704,135550,11998,5000,,,,,,,,,,,,METADON - 20 G.
55,27-05-2020 01:18:51,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0663,42613,16239,1437,599,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
56,27-05-2020 01:18:51,Tbilisi,7LHWP,GEOBUDS,50 gr georgian weed. Package on magnet,True,нет,6,Тбилиси,50 гр,0.1424,92412,35216,3117,1299,,,,,,,,,,,,50 gr georgian weed. Package on magnet
57,27-05-2020 01:18:51,Tbilisi,7LHWP,GEOBUDS,100 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,100 гр,0.2739,177781,67748,5996,2499,,,,,,,,,,,,100 gr georgian weed. Package on magnet
58,27-05-2020 01:18:51,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.263,170738,65064,5759,2400,,,,,,,,,,,,100 gr marijuana buds
59,27-05-2020 01:18:51,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2192,142282,54220,4799,2000,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
60,27-05-2020 01:18:51,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.274,177852,67775,5999,2500,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
61,27-05-2020 01:18:51,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6466,419731,159949,14157,5900,,,,,,,,,,,,180 gr marihuana persoalno
