,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Gldani,€,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
81,10-03-2020 15:01:06,Batumi,XHR,420Factory,Power Africa 1g,,2,нет,Батуми,1 гр,0.0051,3376,1299,118,50,,,,,,True,,,Power Africa 1g
82,10-03-2020 15:01:06,Batumi,72B,CHINATOWN,NZT-52 limited 2г мука,,12,нет,Батуми,2 гр,0.0368,24306,9353,847,360,,,,,,True,,,NZT-52 limited 2g muka
83,10-03-2020 15:01:06,Batumi,Z9UT,Rainbow,Super Critical HIGHEST QUALITY 2G,,1,нет,Батуми,2 гр,0.0113,6752,2598,235,100,,,,,,,True,,Super Critical HIGHEST QUALITY 2G
84,10-03-2020 15:01:06,Batumi,Z9UT,Rainbow,Super Critical HIGHEST QUALITY 5G,,2,нет,Батуми,5 гр,0.0281,16879,6495,588,250,,,,,,,True,,Super Critical HIGHEST QUALITY 5G
85,10-03-2020 15:01:06,Batumi,9VVG,ToWeedShop,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.1688,101276,38970,3528,1500,,,,,,True,,,Skunk! 50 gr.
86,10-03-2020 15:01:06,Batumi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - BATUMI - 0.27 G,,нет,4,Батуми,0.27 гр,0.0307,18230,7015,635,270,,,,,,True,,,Metadon - (KRISTAL) - VHQ - BATUMI - 0.27 G
87,10-03-2020 15:01:06,Batumi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,нет,16,Батуми,5 гр,0.0205,13504,5196,470,200,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
88,10-03-2020 15:01:06,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2273,135035,51960,4704,2000,,,,,,True,,,SUBOXIN - HQ - 100 G.
89,10-03-2020 15:01:06,Batumi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.1705,101276,38970,3528,1500,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
90,10-03-2020 15:01:06,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0051,3376,1299,118,50,,,,,,True,,,kur'er v Batumi
91,10-03-2020 15:01:06,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0256,16879,6495,588,250,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
92,10-03-2020 15:01:06,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0153,10128,3897,353,150,,,,,,True,,,Rabota na marki (kur'er)
93,10-03-2020 15:01:06,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0256,16879,6495,588,250,,,,,,True,,,Ischu kur'era v Gruzii!
94,10-03-2020 15:01:06,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.7031,1012763,389700,35277,15000,,,,,,True,,,Vakansija optovogo kur'era na mef
95,10-03-2020 15:01:06,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0563,33759,12990,1176,500,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
96,10-03-2020 15:02:37,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,1,нет,Кутаиси,10 гр,0.0155,10128,3897,353,150,,,,,,,,True,Rabota na marki (kur'er)
