,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Дигоми,Tbilisis Zgva,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
77,77,15-03-2020 03:27:47,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.2566,106050,38964,3391,1449.0,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
78,78,15-03-2020 03:27:47,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0653,27006,9922,864,369.0,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
79,79,15-03-2020 03:27:47,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0529,21883,8040,700,299.0,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
80,80,15-03-2020 03:27:47,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.1061,43840,16107,1402,599.0,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
81,81,15-03-2020 03:27:47,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1913,87826,32268,2808,1200.0,,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
82,82,15-03-2020 03:27:47,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.3507,146376,53780,4680,2000.0,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
83,83,15-03-2020 03:27:47,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.3542,146376,53780,4680,2000.0,,,,,,,,,,,,SUBOXIN - HQ - 100 G.
84,84,15-03-2020 03:27:47,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.4383,182971,67225,5851,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
85,85,15-03-2020 03:27:47,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.2656,109782,40335,3510,1500.0,,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
86,86,15-03-2020 03:27:47,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.8065,336666,123694,10765,4600.0,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
87,87,15-03-2020 03:27:47,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.3149,548912,201675,17552,7500.0,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
88,88,15-03-2020 03:27:47,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.4903,622100,228565,19892,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
89,89,15-03-2020 03:27:47,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0319,14638,5378,468,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
90,90,15-03-2020 03:27:47,Tbilisi,54915c4374,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0239,10978,4034,351,150.0,,,,,,,,,,,,Rabota na marki (kur'er)
91,91,15-03-2020 03:27:47,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0351,14638,5378,468,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
92,92,15-03-2020 03:27:47,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0438,18297,6723,585,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
93,93,15-03-2020 03:27:47,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.6538,1097823,403350,35103,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
94,94,15-03-2020 03:28:52,Batumi,30f48d507d,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.263,109782,40335,3510,1500.0,,,,,,,,,True,,,Skunk! 50 gr.
95,95,15-03-2020 03:28:52,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,16,Батуми,5 гр,0.0319,14638,5378,468,200.0,,,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
96,96,15-03-2020 03:28:52,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.3542,146376,53780,4680,2000.0,,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
97,97,15-03-2020 03:28:52,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2656,109782,40335,3510,1500.0,,,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
98,98,15-03-2020 03:28:52,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0159,7319,2689,234,100.0,,,,,,,,,True,,,kur'er v Batumi
99,99,15-03-2020 03:28:52,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0398,18297,6723,585,250.0,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
100,100,15-03-2020 03:28:52,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0239,10978,4034,351,150.0,,,,,,,,,True,,,Rabota na marki (kur'er)
101,101,15-03-2020 03:28:52,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0398,18297,6723,585,250.0,,,,,,,,,True,,,Ischu kur'era v Gruzii!
