,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Nadzaladevi,Saburtalo,Gldani,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
71,71,28-06-2020 17:51:21,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.47700000000000004,317991,123740,10966,,True,4600.0,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
72,72,28-06-2020 17:51:21,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7777,518463,201750,17879,,True,7500.0,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
73,73,28-06-2020 17:51:21,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8814,587591,228650,20263,,True,8500.0,,,,,,,,,10000sht marki 25i-nbome. predoplata
74,74,28-06-2020 17:51:21,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0189,13826,5380,477,,True,200.0,,,,,,,,,KURYER..500RUB.+BONUS
75,75,28-06-2020 17:51:21,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0207,13826,5380,477,,True,200.0,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
76,76,28-06-2020 17:51:21,Tbilisi,54915c4374,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0259,17282,6725,596,,True,250.0,,,,,,,,,Rabota na marki (kur'er)
77,77,28-06-2020 17:51:21,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5696,1036926,403500,35759,,True,15000.0,,,,,,,,,Vakansija optovogo kur'era na mef
78,78,28-06-2020 17:53:23,Batumi,f8a875c191,METADON - 0.25 - SALE,,6,10,Батуми,0.25 гр,0.0262,17282,6725,596,,,250.0,,,,,,,True,,METADON - 0.25 - SALE
79,79,28-06-2020 17:53:23,Batumi,54915c4374,Геройн (сирец) 5 гр,,нет,2,Батуми,5 гр,0.1558,103693,40350,3576,,,1500.0,,,,,,,True,,Gerojn (sirets) 5 gr
80,80,28-06-2020 17:53:23,Batumi,54915c4374,Сирец (геройн) очень сильный 10 гр,,нет,2,Батуми,10 гр,0.2285,152082,59180,5245,,,2200.0,,,,,,,True,,Sirets (gerojn) ochen' sil'nyj 10 gr
81,81,28-06-2020 17:53:23,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1698,112990,51992,3897,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
82,82,28-06-2020 17:53:23,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2688,178900,82321,6170,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
83,83,28-06-2020 17:53:23,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0094,6913,2690,238,,,100.0,,,,,,,True,,kur'er v Batumi
84,84,28-06-2020 17:53:23,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0236,17282,6725,596,,,250.0,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
85,85,28-06-2020 17:53:23,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0236,17282,6725,596,,,250.0,,,,,,,True,,Ischu kur'era v Gruzii!
86,86,28-06-2020 17:53:23,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,2,Батуми,1 гр,0.0208,13826,5380,477,,,200.0,,,,,,,True,,Kur'er Batumi na marihuanu
87,87,28-06-2020 17:53:23,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5724,1036926,403500,35759,,,15000.0,,,,,,,True,,Vakansija optovogo kur'era na mef
88,88,28-06-2020 17:53:23,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0519,34564,13450,1192,,,500.0,,,,,,,True,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
