,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,€,Дигоми,Didube,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
69,69,20-03-2020 17:08:24,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,9,Тбилиси,10 гр,0.1987,113086,41007,3682,1449.0,True,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
70,70,20-03-2020 17:08:24,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0506,28798,10443,938,369.0,True,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
71,71,20-03-2020 17:08:24,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,3,Тбилиси,10 гр,0.040999999999999995,23335,8462,760,299.0,True,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
72,72,20-03-2020 17:08:24,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0821,46749,16952,1522,599.0,True,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
73,73,20-03-2020 17:08:24,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,,нет,1,Тбилиси,50 гр,0.1481,93653,33960,3050,1200.0,True,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
74,74,20-03-2020 17:08:24,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2715,156089,56600,5083,2000.0,True,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
75,75,20-03-2020 17:08:24,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,1,Тбилиси,100 гр,0.2743,156089,56600,5083,2000.0,True,,,,,,,,,,SUBOXIN - HQ - 100 G.
76,76,20-03-2020 17:08:24,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.3394,195111,70750,6354,2500.0,True,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
77,77,20-03-2020 17:08:24,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,1,Тбилиси,150 гр,0.2057,117066,42450,3812,1500.0,True,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
78,78,20-03-2020 17:08:24,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.6245,359004,130180,11690,4600.0,True,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
79,79,20-03-2020 17:08:24,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,1.0183,585332,212250,19061,7500.0,True,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
80,80,20-03-2020 17:08:24,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.1541,663377,240550,21602,8500.0,True,,,,,,,,,,10000sht marki 25i-nbome. predoplata
81,81,20-03-2020 17:08:24,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,1,нет,Тбилиси,1 гр,0.0247,15609,5660,508,200.0,True,,,,,,,,,,KURYER..500RUB.+BONUS
82,82,20-03-2020 17:08:24,Tbilisi,54915c4374,Работа на марки (курьер),,1,нет,Тбилиси,10 гр,0.0185,11707,4245,381,150.0,True,,,,,,,,,,Rabota na marki (kur'er)
83,83,20-03-2020 17:08:24,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0272,15609,5660,508,200.0,True,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
