,Unnamed: 0,time_stamp,region,sell_code,description,Nadzaladevi,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Didube,Saburtalo,Vazisubani,Gldani,Varketili,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
46,46,06-07-2020 08:26:44,Tbilisi,52fe6d0af9,VHQ MDMA Champagne Imported 5G A+++,,нет,5,Тбилиси,5 гр,0.0528,35250,13675,1211,,True,500.0,,,,,,,,,,,VHQ MDMA Champagne Imported 5G A+++
47,47,06-07-2020 08:26:44,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2589,190000,87429,6528,,True,,,,,,,,,,,,reagent 25i nbome. 5gr
48,48,06-07-2020 08:26:44,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2882,211500,82050,7264,,,3000.0,,,,,,,True,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
49,49,06-07-2020 08:26:44,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0951,63450,24615,2179,,True,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
50,50,06-07-2020 08:26:44,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0581,38775,15043,1332,,True,550.0,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
51,51,06-07-2020 08:26:44,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.07400000000000001,49350,19145,1695,,True,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
52,52,06-07-2020 08:26:44,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0444,29610,11487,1017,,True,420.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
53,53,06-07-2020 08:26:44,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0845,56400,21880,1937,,True,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
54,54,06-07-2020 08:26:44,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2351,156862,60854,5388,,True,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
55,55,06-07-2020 08:26:44,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,1,Тбилиси,11 гр,0.0467,30896,11934,1065,390.0,True,,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
56,56,06-07-2020 08:26:44,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2536,169200,65640,5811,,True,2400.0,,,,,,,,,,,100 gr marijuana buds
57,57,06-07-2020 08:26:44,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2642,176250,68375,6054,,True,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
58,58,06-07-2020 08:26:44,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6234,415949,161365,14286,,True,5900.0,,,,,,,,,,,180 gr marihuana persoalno
