,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Varketili,Gldani,Saburtalo,Vake,Old Tbilisi (Старый город),Авлобари,Дигоми,Vazisubani,Nadzaladevi,Tbilisis Zgva,€,Батуми,Центр,Кутаиси,desc_en
55,24-04-2020 10:19:25,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3141,180310,65400,5925,2400,,,,,,,,,,,,,,,,100 gr marijuana buds
56,24-04-2020 10:19:25,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2617,150258,54500,4937,2000,,,,,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
57,24-04-2020 10:19:25,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3272,187823,68125,6172,2500,,,,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
58,24-04-2020 10:19:25,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.7721,443261,160775,14565,5900,,,,,,,,,,,,,,,,180 gr marihuana persoalno
59,24-04-2020 10:19:25,Tbilisi,8B31,GEOWEEDSHOP,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,1,Тбилиси,200 гр,0.4122,236656,85838,7776,3150,,,,,,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
60,24-04-2020 10:19:25,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.602,345593,125350,11356,4600,,,,,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
61,24-04-2020 10:19:25,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.9815,563468,204375,18515,7500,,,,,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
62,24-04-2020 10:19:25,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.1123,638597,231625,20984,8500,,,,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
63,24-04-2020 10:19:25,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0238,15026,5450,494,200,,,,,,,,,,,,,,,,KURYER..500RUB.+BONUS
64,24-04-2020 10:19:25,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0262,15026,5450,494,200,,,,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
65,24-04-2020 10:19:25,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0327,18782,6813,617,250,,,,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
66,24-04-2020 10:19:25,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.0262,15026,5450,494,200,,,,,,,,,,,,,,,,Rabota na marki (kur'er)
67,24-04-2020 10:19:25,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.9808,1126935,408750,37031,15000,,,,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
68,24-04-2020 10:21:03,Batumi,A3I9,Joookerrr,Батуми н-бооом 1 штука,,1,нет,Батуми,1 гр,0.0023,1461,531,48,,,,,,,,,,,,,18,True,,,Batumi n-booom 1 shtuka
69,24-04-2020 10:21:03,Batumi,A3I9,Joookerrr,Батуми н-бооом 2 штуки,,3,нет,Батуми,2 гр,0.0045,2597,944,85,,,,,,,,,,,,,32,True,,,Batumi n-booom 2 shtuki
70,24-04-2020 10:21:03,Batumi,A3I9,Joookerrr,Батуми н-бооом 4 штуки,,4,нет,Батуми,4 гр,0.0071,4463,1623,147,,,,,,,,,,,,,55,True,True,,Batumi n-booom 4 shtuki
71,24-04-2020 10:21:03,Batumi,A3I9,Joookerrr,Батуми н-бооом 5 штук,,3,нет,Батуми,5 гр,0.0077,4869,1770,160,,,,,,,,,,,,,60,True,,,Batumi n-booom 5 shtuk
