,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Saburtalo,Vake,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
69,69,01-03-2020 18:23:01,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0279,16748,6175,560,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
70,70,01-03-2020 18:23:01,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6862,1004864,370500,33587,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
71,71,01-03-2020 18:24:46,Batumi,30f48d507d,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.1671,100486,37050,3359,1500.0,,,,,,,True,,,Skunk! 50 gr.
72,72,01-03-2020 18:24:46,Batumi,f8a875c191,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE ),,2,5,Батуми,0.27 гр,0.0304,18088,6669,605,270.0,,,,,,,True,,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE )
73,73,01-03-2020 18:24:46,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,18,Батуми,5 гр,0.0203,13398,4940,448,200.0,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
74,74,01-03-2020 18:24:46,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.225,133982,49400,4478,2000.0,,,,,,,True,,,SUBOXIN - HQ - 100 G.
75,75,01-03-2020 18:24:46,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.1688,100486,37050,3359,1500.0,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
76,76,01-03-2020 18:24:46,Batumi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Батуми,1 гр,0.0113,6699,2470,224,100.0,,,,,,,True,,,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
77,77,01-03-2020 18:24:46,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0051,3350,1235,112,50.0,,,,,,,True,,,kur'er v Batumi
78,78,01-03-2020 18:24:46,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,3 гр,0.0051,3350,1235,112,50.0,,,,,,,True,,,Vakansija Kur'era v Batumi
79,79,01-03-2020 18:24:46,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,5 гр,0.0076,5000,2301,167,,,,,,,,True,,,Vakansija Kur'era v Batumi
80,80,01-03-2020 18:24:46,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0253,16748,6175,560,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
81,81,01-03-2020 18:24:46,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0253,16748,6175,560,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
82,82,01-03-2020 18:24:46,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6862,1004864,370500,33587,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
83,83,01-03-2020 18:24:46,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0557,33495,12350,1120,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
84,84,01-03-2020 18:26:13,Kutaisi,d4df7908c3,Шишки / weeds Afghan Kush - 2г,,1,нет,Кутаиси,2 гр,0.0083,4957,1828,166,74.0,,,,,,,,,True,Shishki / weeds Afghan Kush - 2g
85,85,01-03-2020 18:26:13,Kutaisi,d4df7908c3,"Шишки / Weed Afghan Kush, 3g",,2,3,Кутаиси,3 гр,0.0122,7235,2668,242,108.0,,,,,,,,,True,"Shishki / Weed Afghan Kush, 3g"
86,86,01-03-2020 18:26:13,Kutaisi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Кутаиси,1 гр,0.0113,6699,2470,224,100.0,,,,,,,,,True,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
