,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Vake,Gldani,€,Didube,Дигоми,Old Tbilisi (Старый город),Центр,Батуми,Кутаиси,desc_en
84,84,28-03-2020 14:33:01,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,1,Тбилиси,150 гр,0.2203,116599,42750,3863,1500.0,True,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
85,85,28-03-2020 14:33:01,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.6688,357570,131100,11847,4600.0,True,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
86,86,28-03-2020 14:33:01,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,1.0905,582994,213750,19316,7500.0,True,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
87,87,28-03-2020 14:33:01,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.2359,660726,242250,21891,8500.0,True,,,,,,,,,,10000sht marki 25i-nbome. predoplata
88,88,28-03-2020 14:33:01,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0264,15547,5700,515,200.0,True,,,,,,,,,,KURYER..500RUB.+BONUS
89,89,28-03-2020 14:33:01,Tbilisi,e56bb6ca93,"Работа курьером в Тбилиси, ЗП от 1500$ в месяц, работа только с марихуаной, залог от 200$",,1,нет,Тбилиси,1 гр,0.0291,15547,5700,515,200.0,True,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1500$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 200$"
90,90,28-03-2020 14:33:01,Tbilisi,54915c4374,Работа на марки (курьер),,1,нет,Тбилиси,50 гр,0.0364,21435,7938,709,,True,,,250.0,,,,,,,Rabota na marki (kur'er)
91,91,28-03-2020 14:33:01,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0291,15547,5700,515,200.0,True,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
92,92,28-03-2020 14:33:01,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0363,19433,7125,644,250.0,True,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
93,93,28-03-2020 14:33:01,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,2.2007,1165988,427500,38631,15000.0,True,,,,,,,,,,Vakansija optovogo kur'era na mef
94,94,28-03-2020 14:34:26,Batumi,99accec7c7,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,,1,нет,Батуми,0.25 гр,0.0276,14769,5415,489,190.0,,,,,,,,True,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
95,95,28-03-2020 14:34:26,Batumi,99accec7c7,METHADONE 0.25 THE BEST QUALITY VHQ,,4,нет,Батуми,0.25 гр,0.028999999999999998,15547,5700,515,200.0,,,,,,,,True,,,METHADONE 0.25 THE BEST QUALITY VHQ
96,96,28-03-2020 14:34:26,Batumi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.7 грамм",,2,нет,Батуми,0.7 гр,0.0175,10289,3810,340,,,,,120.0,,,,,True,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.7 gramm"
97,97,28-03-2020 14:34:26,Batumi,c72111ac1a,NZT-52 limited 1 г мука,,5,нет,Батуми,1 гр,0.0251,14769,5415,489,190.0,,,,,,,,,True,,NZT-52 limited 1 g muka
98,98,28-03-2020 14:34:26,Batumi,c72111ac1a,NZT-52 limited 2г мука,,3,нет,Батуми,2 гр,0.0449,26429,9690,876,340.0,,,,,,,,,True,,NZT-52 limited 2g muka
99,99,28-03-2020 14:34:26,Batumi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,,22,нет,Батуми,2 гр,0.0059,3498,1283,116,45.0,,,,,,,,,True,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
100,100,28-03-2020 14:34:26,Batumi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 4 штуки!!!,,5,нет,Батуми,4 гр,0.0092,5441,1995,180,70.0,,,,,,,,,True,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 4 shtuki!!!
