,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,€,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
72,72,19-02-2020 06:21:01,Tbilisi,366326d4d6,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!,True,1,нет,Тбилиси,5 гр,0.0826,54204,20834,1873,850.0,,,,,,,,,,,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!
73,73,19-02-2020 06:21:01,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,5 гр,0.017,11160,4289,386,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
74,74,19-02-2020 06:21:01,Tbilisi,d04eeb6525,5шт Ecstazy 280мг MDMA (Gray Duracell),True,4,нет,Тбилиси,5 гр,0.0143,9565,3677,330,150.0,,,,,,,,,,,5sht Ecstazy 280mg MDMA (Gray Duracell)
75,75,19-02-2020 06:21:01,Tbilisi,0fa6c5b020,Hybrid Weed VHQ (5г) BТС 10% СКИДКА,True,3,нет,Тбилиси,5 гр,0.0149,10841,4167,375,170.0,,,,,,,,,,,Hybrid Weed VHQ (5g) BTS 10% SKIDKA
76,76,19-02-2020 06:21:01,Tbilisi,366326d4d6,NEW !!! 5G OG KusH !!! NEW,True,3,нет,Тбилиси,5 гр,0.0154,10139,3897,350,159.0,,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
77,77,19-02-2020 06:21:01,Tbilisi,c225d2f67d,гашиш евро 5г,True,1,нет,Тбилиси,5 гр,0.0194,13392,5147,463,210.0,,,,,,,,,,,gashish evro 5g
78,78,19-02-2020 06:21:01,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,6,нет,Тбилиси,10 гр,0.0257,17027,6544,588,267.0,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
79,79,19-02-2020 06:21:01,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0369,25508,9804,881,400.0,,,,,,,,,,,gashish evro 10g
80,80,19-02-2020 06:21:01,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",True,10,нет,Тбилиси,10 гр,0.0083,6058,2328,209,95.0,,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
81,81,19-02-2020 06:21:01,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0717,49549,19044,1712,777.0,,,,,,,,,,,Gashish Evro 20gr
82,82,19-02-2020 06:21:01,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,3,5,Тбилиси,0.27 гр,0.0221,14476,5564,500,227.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
83,83,19-02-2020 06:21:01,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,3,5,Тбилиси,0.35 гр,0.028999999999999998,19067,7328,659,299.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
84,84,19-02-2020 06:21:01,Tbilisi,3814ba5701,Weed From Gali(THC 23%) 1gr,True,нет,1,Тбилиси,1 гр,0.0046,3188,1226,110,50.0,,,,,,,,,,,Weed From Gali(THC 23%) 1gr
85,85,19-02-2020 06:21:01,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,2,5,Тбилиси,1 гр,0.0583,38262,14706,1322,600.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
86,86,19-02-2020 06:21:01,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,10,Тбилиси,4 гр,0.0385,25508,9804,881,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
87,87,19-02-2020 06:21:01,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0231,15305,5882,529,240.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
88,88,19-02-2020 06:21:01,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.024,15942,6128,551,250.0,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
89,89,19-02-2020 06:21:01,Tbilisi,ce030318fd,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,9,Тбилиси,5 гр,0.1311,95655,36765,3305,1500.0,,,,,,,,,,,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
90,90,19-02-2020 06:21:01,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.024,15942,6128,551,250.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
91,91,19-02-2020 06:21:01,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.024,15942,6128,551,250.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
92,92,19-02-2020 06:21:01,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.0191,12690,4877,438,199.0,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
93,93,19-02-2020 06:21:01,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,4,Тбилиси,5 гр,0.024,15942,6128,551,250.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
94,94,19-02-2020 06:21:01,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0191,13966,5368,482,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
