,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Дигоми,Saburtalo,Old Tbilisi (Старый город),Авлобари,Didube,Vake,Varketili,Батуми,Центр,€,desc_en
72,16-08-2020 12:02:25,Tbilisi,HWUW,opiopi,GABAGAMA 250 shtuk,,нет,4,Тбилиси,250 гр,0.0242,21000,9663,705,,,,,,,True,,,,,,GABAGAMA 250 shtuk
73,16-08-2020 12:02:25,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.7168,622333,234600,20879,8500,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
74,16-08-2020 12:02:25,Tbilisi,XUYA,MRweed,Курьер Тбилиси,True,1,нет,Тбилиси,1 гр,0.0307,29286,11040,983,400,,,,,,,,,,,,Kur'er Tbilisi
75,16-08-2020 12:02:25,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0211,18304,6900,614,250,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
76,16-08-2020 12:02:25,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0169,14643,5520,491,200,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
77,16-08-2020 12:02:25,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0211,18304,6900,614,250,,,,,,,,,,,,Rabota na marki (kur'er)
78,16-08-2020 12:02:25,Tbilisi,6P9R,RickNMorty,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0422,36608,13800,1228,500,,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
79,16-08-2020 12:02:25,Tbilisi,9CK,Hyperboy,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | работат куриерам ЗП 5-20$ за адресс залог 500$,True,нет,1,Тбилиси,10 гр,0.0422,36608,13800,1228,500,,,,,,,,,,,,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | rabotat kurieram ZP 5-20$ za adress zalog 500$
80,16-08-2020 12:02:25,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.2764,1098236,414000,36846,15000,,,,,,,,,,,,Vakansija optovogo kur'era na mef
81,16-08-2020 12:02:25,Tbilisi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0422,36608,13800,1228,500,,,,True,,,True,True,,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
82,16-08-2020 12:02:25,Tbilisi,ALISA,AlisaMSK,верифицированный аккаунт на localbitcoins 1 шт,True,нет,2,Тбилиси,1 гр,0.0035,3000,1380,101,,,,,,,,,,,,,verifitsirovannyj akkaunt na localbitcoins 1 sht
83,16-08-2020 12:02:25,Tbilisi,ALISA,AlisaMSK,Генацвале! Работай у лучшей девушки RC!,True,нет,1,Тбилиси,2 гр,0.0084,7322,2760,246,100,,,,,,,,,,,,Genatsvale! Rabotaj u luchshej devushki RC!
84,16-08-2020 12:04:37,Batumi,XUYA,MRweed,Critical + 2.0 Grinded Moonrocks (измельченные мунроки) 5гр,,1,нет,Батуми,5 гр,0.0237,22697,8556,761,310,,,,,,,,,True,,,Critical + 2.0 Grinded Moonrocks (izmel'chennye munroki) 5gr
