,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Varketili,Дигоми,Vake,Old Tbilisi (Старый город),Авлобари,€,Didube,Батуми,Центр,desc_en
79,04-08-2020 21:23:03,Tbilisi,6P9R,RickNMorty,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0438,36690,13975,1224,500,,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
80,04-08-2020 21:23:03,Tbilisi,9CK,Hyperboy,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | работат куриерам ЗП 5-20$ за адресс залог 500$,True,нет,1,Тбилиси,10 гр,0.0438,36690,13975,1224,500,,,,,,,,,,,,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | rabotat kurieram ZP 5-20$ za adress zalog 500$
81,04-08-2020 21:23:03,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.3256,1100709,419250,36713,15000,,,,,,,,,,,,Vakansija optovogo kur'era na mef
82,04-08-2020 21:23:03,Tbilisi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0438,36690,13975,1224,500,,,True,,True,True,,,,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
83,04-08-2020 21:25:18,Batumi,GGVQZ,KARAVANos,Мелкие шишки (Indica) 2г,,4,нет,Батуми,2 гр,0.0029,2422,922,81,33,,,,,,,,,,True,,Melkie shishki (Indica) 2g
84,04-08-2020 21:25:18,Batumi,Z9UT,Rainbow,Hybrid Super Critical THC 28% Hydroponic 10G 100% Buds/Качественные шишки марихуаны,,1,нет,Батуми,10 гр,0.035,29352,11180,979,400,,,,,,,,,,,True,Hybrid Super Critical THC 28% Hydroponic 10G 100% Buds/Kachestvennye shishki marihuany
85,04-08-2020 21:25:18,Batumi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,1,4,Батуми,10 гр,0.0416,34514,13087,1148,,,,,,,,,399,,True,True,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
86,04-08-2020 21:25:18,Batumi,XH0NP,XX-PABLO-XX,METADON - 0.30 - SALE,,нет,4,Батуми,0.3 гр,0.0265,22014,8385,734,300,,,,,,,,,,True,,METADON - 0.30 - SALE
87,04-08-2020 21:25:18,Batumi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,3,Батуми,11 гр,0.0406,33735,12792,1122,,,,,,,,,390,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
88,04-08-2020 21:25:18,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.008,7338,2795,245,100,,,,,,,,,,True,,kur'er v Batumi
89,04-08-2020 21:25:18,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0199,18345,6988,612,250,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
90,04-08-2020 21:25:18,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0199,18345,6988,612,250,,,,,,,,,,True,,Ischu kur'era v Gruzii!
91,04-08-2020 21:25:18,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0175,14676,5590,490,200,,,,,,,,,,True,,Kur'er Batumi na marihuanu
92,04-08-2020 21:25:18,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.3254,1100709,419250,36713,15000,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
93,04-08-2020 21:25:18,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0438,36690,13975,1224,500,,,,,,,,,,,True,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
