,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,€,Varketili,Saburtalo,Didube,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
82,82,17-04-2020 19:09:15,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.1513,628525,232475,20899,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
83,83,17-04-2020 19:09:15,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0246,14789,5470,492,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
84,84,17-04-2020 19:09:15,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0271,14789,5470,492,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
85,85,17-04-2020 19:09:15,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0339,18486,6838,615,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
86,86,17-04-2020 19:09:15,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.0501,1109162,410250,36881,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
87,87,17-04-2020 19:10:24,Batumi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 1 штука!!!!,,1,нет,Батуми,1 гр,0.0026,1442,536,48,,,18.0,,,,,,,True,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 1 shtuka!!!!
88,88,17-04-2020 19:10:24,Batumi,3c4662c591,Super Critical HIGHEST QUALITY 5G,,2,нет,Батуми,5 гр,0.0406,22183,8205,738,300.0,,,,,,,,,True,,,Super Critical HIGHEST QUALITY 5G
89,89,17-04-2020 19:10:24,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.298,162677,60170,5409,2200.0,,,,,,,,,,True,,[100g] SPAIN HASH
90,90,17-04-2020 19:10:24,Batumi,2d6b882c49,Ск синий крис очень сильный 3гр,,нет,3,Батуми,3 гр,0.0406,24402,9026,811,330.0,,,,,,,,,True,,,Sk sinij kris ochen' sil'nyj 3gr
91,91,17-04-2020 19:10:24,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2736,147888,54700,4917,2000.0,,,,,,,,,,True,,SUBOXIN - HQ - 100 G.
92,92,17-04-2020 19:10:24,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0123,7394,2735,246,100.0,,,,,,,,,,True,,kur'er v Batumi
93,93,17-04-2020 19:10:24,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0308,18486,6838,615,250.0,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
94,94,17-04-2020 19:10:24,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0308,18486,6838,615,250.0,,,,,,,,,,True,,Ischu kur'era v Gruzii!
95,95,17-04-2020 19:10:24,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.0501,1109162,410250,36881,15000.0,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
96,96,17-04-2020 19:10:24,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0677,36972,13675,1229,500.0,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
97,97,17-04-2020 19:12:18,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,1.5 гр,0.0194,10722,3966,357,145.0,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
98,98,17-04-2020 19:12:18,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,2 гр,0.0489,26990,9983,897,365.0,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
99,99,17-04-2020 19:12:18,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,10,нет,Кутаиси,3 гр,0.0369,20335,7521,676,275.0,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
