,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),€,Saburtalo,Дигоми,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
87,87,12-03-2020 08:50:29,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1321,85766,31800,2777,1200.0,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
88,88,12-03-2020 08:50:29,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1161,71401,26474,2312,999.0,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
89,89,12-03-2020 08:50:29,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2422,142944,53000,4628,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
90,90,12-03-2020 08:50:29,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2446,142944,53000,4628,2000.0,,,,,,,,,,SUBOXIN - HQ - 100 G.
91,91,12-03-2020 08:50:29,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3027,178680,66250,5785,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
92,92,12-03-2020 08:50:29,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.1835,107208,39750,3471,1500.0,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
93,93,12-03-2020 08:50:29,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.557,328771,121900,10645,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
94,94,12-03-2020 08:50:29,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.9082,536040,198750,17356,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
95,95,12-03-2020 08:50:29,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.0293,607512,225250,19670,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
96,96,12-03-2020 08:50:29,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.022000000000000002,14294,5300,463,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
97,97,12-03-2020 08:50:29,Tbilisi,54915c4374,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0165,10721,3975,347,150.0,,,,,,,,,,Rabota na marki (kur'er)
98,98,12-03-2020 08:50:29,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0242,14294,5300,463,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
99,99,12-03-2020 08:50:29,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0303,17868,6625,579,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
100,100,12-03-2020 08:50:29,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.8329,1072080,397500,34712,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
