,time_stamp,region,sell_code,sell_name,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Varketili,Vazisubani,Zahesi,Gldani,Saburtalo,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
85,04-07-2020 13:18:44,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,1,нет,Тбилиси,1 гр,0.0263,17625,6838,605,,True,250,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
86,04-07-2020 13:18:44,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.021,14100,5470,484,,True,200,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
87,04-07-2020 13:18:44,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0263,17625,6838,605,,True,250,,,,,,,,,,,Rabota na marki (kur'er)
88,04-07-2020 13:18:44,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5903,1057499,410250,36321,,True,15000,,,,,,,,,,,Vakansija optovogo kur'era na mef
89,04-07-2020 13:22:06,Batumi,6KB,Marioshop,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 2pc 🎭🔮🧞‍♀️",,11,нет,Батуми,2 гр,0.0119,7922,3060,273,100,,,,,,,,,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 2pc 🎭🔮🧞‍♀️"
90,04-07-2020 13:22:06,Batumi,Z9UT,Rainbow,Super Critical 10G,,1,нет,Батуми,10 гр,0.0474,31725,12308,1090,,,450,,,,,,,,,,True,Super Critical 10G
91,04-07-2020 13:22:06,Batumi,XH0NP,XX-PABLO-XX,METADON - 0.25 - SALE,,нет,9,Батуми,0.25 гр,0.0266,17625,6838,605,,,250,,,,,,,,,True,,METADON - 0.25 - SALE
92,04-07-2020 13:22:07,Batumi,A3I9,Joookerrr,Геройн (сирец) 5 гр,,нет,2,Батуми,5 гр,0.1579,105750,41025,3632,,,1500,,,,,,,,,True,,Gerojn (sirets) 5 gr
93,04-07-2020 13:22:07,Batumi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0465,30896,11934,1065,390,,,,,,,,,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
94,04-07-2020 13:22:07,Batumi,6KB,Marioshop,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,5,Батуми,11 гр,0.0501,33273,12852,1147,420,,,,,,,,,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
95,04-07-2020 13:22:07,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1687,112990,51992,3882,,,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
96,04-07-2020 13:22:07,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.267,178900,82321,6147,,,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
97,04-07-2020 13:22:07,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7050,2735,242,,,100,,,,,,,,,True,,kur'er v Batumi
