,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Vake,Saburtalo,Дигоми,Didube,Gldani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
68,22-03-2020 12:32:44,Tbilisi,NVOG,ProperMgzn,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0505,27316,9835,896,350,,,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
69,22-03-2020 12:32:44,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.1142,62435,22480,2047,800,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
70,22-03-2020 12:32:44,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3176,173649,62523,5694,2225,,,,,,,,,,,,Amfetamin [White] [Import] 10G
71,22-03-2020 12:32:44,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.2089,113086,40717,3708,1449,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
72,22-03-2020 12:32:44,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0532,28798,10369,944,369,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
73,22-03-2020 12:32:44,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0431,23335,8402,765,299,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
74,22-03-2020 12:32:44,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0864,46749,16832,1533,599,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
75,22-03-2020 12:32:44,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1557,93653,33720,3071,1200,,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
76,22-03-2020 12:32:44,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2855,156089,56200,5118,2000,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
77,22-03-2020 12:32:44,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2884,156089,56200,5118,2000,,,,,,,,,,,,SUBOXIN - HQ - 100 G.
78,22-03-2020 12:32:44,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3569,195111,70250,6398,2500,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
79,22-03-2020 12:32:44,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.2163,117066,42150,3839,1500,,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
80,22-03-2020 12:32:44,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6567,359004,129260,11772,4600,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
81,22-03-2020 12:32:44,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.0707,585332,210750,19193,7500,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
82,22-03-2020 12:32:44,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.2135,663377,238850,21752,8500,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
83,22-03-2020 12:32:44,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.026,15609,5620,512,200,,,,,,,,,,,,KURYER..500RUB.+BONUS
84,22-03-2020 12:32:44,Tbilisi,8B31,Rastashop,"Работа курьером в Тбилиси, ЗП от 1500$ в месяц, работа только с марихуаной, залог от 200$",True,1,нет,Тбилиси,1 гр,0.026,15609,5620,512,200,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1500$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 200$"
85,22-03-2020 12:32:44,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0195,11707,4215,384,150,,,,,,,,,,,,Rabota na marki (kur'er)
86,22-03-2020 12:32:44,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0286,15609,5620,512,200,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
87,22-03-2020 12:32:44,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0357,19511,7025,640,250,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
88,22-03-2020 12:32:44,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.1609,1170665,421500,38387,15000,,,,,,,,,,,,Vakansija optovogo kur'era na mef
89,22-03-2020 12:33:53,Batumi,V4T,COCAcoLA,MEPHEDRONE 0.5 gr,,8,нет,Батуми,0.5 гр,0.0104,6244,2248,205,80,,,,,,,,,True,,,MEPHEDRONE 0.5 gr
90,22-03-2020 12:33:53,Batumi,V4T,COCAcoLA,COCAINE 1 gr THE BEST COCO IN GEORGIA,,4,нет,Батуми,1 гр,0.0392,23413,8430,768,300,,,,,,,,,True,,,COCAINE 1 gr THE BEST COCO IN GEORGIA
91,22-03-2020 12:33:53,Batumi,72B,CHINATOWN,NZT-52 limited 1 г мука,,20,нет,Батуми,1 гр,0.0248,14828,5339,486,190,,,,,,,,,,True,,NZT-52 limited 1 g muka
92,22-03-2020 12:33:53,Batumi,72B,CHINATOWN,NZT-52 limited 2г мука,,9,нет,Батуми,2 гр,0.0444,26535,9554,870,340,,,,,,,,,,True,,NZT-52 limited 2g muka
93,22-03-2020 12:33:53,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3159,171697,61820,5630,2200,,,,,,,,,,True,,[100g] SPAIN HASH
94,22-03-2020 12:33:53,Batumi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,нет,14,Батуми,5 гр,0.0261,15609,5620,512,200,,,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
95,22-03-2020 12:33:53,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.29,156089,56200,5118,2000,,,,,,,,,,True,,SUBOXIN - HQ - 100 G.
96,22-03-2020 12:33:53,Batumi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2175,117066,42150,3839,1500,,,,,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
97,22-03-2020 12:33:53,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0131,7804,2810,256,100,,,,,,,,,,True,,kur'er v Batumi
98,22-03-2020 12:33:53,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0326,19511,7025,640,250,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
99,22-03-2020 12:33:53,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0196,11707,4215,384,150,,,,,,,,,,True,,Rabota na marki (kur'er)
