,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,Vake,Vazisubani,Varketili,Didube,€,Saburtalo,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
57,57,25-05-2020 13:04:30,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5554,359402,135250,11993,5000.0,,,,,,,,,,,,,METADON - 20 G.
58,58,25-05-2020 13:04:30,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0665,43056,16203,1437,599.0,,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
59,59,25-05-2020 13:04:30,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,True,нет,6,Тбилиси,50 гр,0.1429,93373,35138,3116,1299.0,,,,,,,,,,,,,50 gr georgian weed. Package on magnet
60,60,25-05-2020 13:04:30,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.121,79068,29755,2638,1100.0,,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
61,61,25-05-2020 13:04:30,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,100 гр,0.2748,179629,67598,5994,2499.0,,,,,,,,,,,,,100 gr georgian weed. Package on magnet
62,62,25-05-2020 13:04:30,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2639,172513,64920,5757,2400.0,,,,,,,,,,,,,100 gr marijuana buds
63,63,25-05-2020 13:04:30,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2199,143761,54100,4797,2000.0,,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
64,64,25-05-2020 13:04:30,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2749,179701,67625,5997,2500.0,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
65,65,25-05-2020 13:04:30,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6488,424094,159595,14152,5900.0,,,,,,,,,,,,,180 gr marihuana persoalno
66,66,25-05-2020 13:04:30,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5059,330650,124430,11034,4600.0,,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
